Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Patience,Feedback about the rep's patience and willingness to take time with the customer.,Rep Was Patient,"Customer states rep was patient, took their time, listened well. Include: 'very patient', 'he was patient', 'took time', 'listened to me'. Exclude general helpfulness.",Positive
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Patience,Feedback about the rep's patience and willingness to take time with the customer.,Rep Was Impatient / Did Not Listen,"Customer states rep was impatient, rushed, or did not listen. Include: 'did not listen', 'wouldn't listen', 'too pushy', 'didn't listen well'. Exclude rude behavior separately.",Negative
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Overall Rep Satisfaction,General holistic satisfaction or dissatisfaction with the rep that doesn't isolate a specific behavior.,Rep Overall Positive,"General praise for the rep without specifying a behavior. Include: 'she was great', 'he was amazing', 'awesome rep', 'wonderful person', 'excellent employee', 'great service'. Include Spanish: 'fue excelente', 'muy buena'. Exclude verbatims that specify a behavior (route to specific sub-topic).",Positive
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Overall Rep Satisfaction,General holistic satisfaction or dissatisfaction with the rep that doesn't isolate a specific behavior.,Rep Overall Negative,"General negative experience with the rep. Include: 'bad experience', 'total failure', 'horrible', 'waste of time', 'terrible'. Exclude verbatims that specify a behavior.",Negative
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Communication,Feedback about how clearly and effectively the rep communicated - language clarity and comprehension.,Rep Communicated Clearly,"Customer praises the rep's communication clarity. Include: 'clear explanation', 'easy to understand', 'well explained', 'communicated well', 'explained everything'. Include Spanish: 'claro y conciso'.",Positive
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Communication,Feedback about how clearly and effectively the rep communicated - language clarity and comprehension.,Rep Was Hard to Understand,"Customer had difficulty understanding the rep. Include: 'hard to understand', 'couldn't understand', 'language barrier', 'accent was strong', 'speak clear English', 'speak English'. Exclude requests for AI removal.",Negative
People,Feedback concerning staff performance or behavior - interactions with call-center agents support staff sales reps etc. including helpfulness professionalism knowledge attitude.,Rep Recognition,Customer requests formal recognition or reward for the rep.,Give Rep a Raise / Promotion,"Customer recommends rep for a raise or promotion. Include: 'give her a raise', 'give him a raise', 'give him a promotion', 'keep her', 'he's a keeper', 'she's a keeper', 'she's a superstar'. Exclude general praise.",Positive
Process,Feedback on operational processes - the ease or difficulty of procedures that shape the customer experience.,Issue Resolution,Feedback about whether the customer's issue or request was resolved.,Issue Resolved,"Customer confirms their issue was resolved. Include: 'issue resolved', 'problem solved', 'fixed', 'resolved my issue', 'resolved pronto', 'todo resuelto'. Exclude future tense/pending.",Positive
Process,Feedback on operational processes - the ease or difficulty of procedures that shape the customer experience.,Issue Resolution,Feedback about whether the customer's issue or request was resolved.,Issue Not Resolved,"Customer states issue was not resolved or is still ongoing. Include: 'issue not fixed', 'not resolved', 'still not working', 'nothing resolved', 'never finished', 'problem not solved', 'still have a problem'.",Negative
Process,Feedback on operational processes - the ease or difficulty of procedures that shape the customer experience.,Wait Time / Hold Time,Feedback about time spent waiting on hold or for service.,Wait Time Too Long,"Customer complains about wait time or time on hold. Include: 'long wait time', 'took too long', 'too long on hold', 'waited too long', 'long hold', 'long waiting time'. Exclude total call duration.",Negative
Process,Feedback on operational processes - the ease or difficulty of procedures that shape the customer experience.,Wait Time / Hold Time,Feedback about time spent waiting on hold or for service.,Wait Time Was Acceptable / Fast Service,"Customer positively mentions speed of service. Include: 'fast and easy', 'quick service', 'quick response', 'no wait', 'prompt service'.",Positive
Process,Feedback on operational processes - the ease or difficulty of procedures that shape the customer experience.,Call / Interaction Experience,Feedback about the overall call or interaction process flow.,Interaction Was Easy / Smooth,"Customer describes the interaction as easy, smooth, seamless, or painless. Include: 'easy process', 'went smoothly', 'seamless', 'painless', 'no hassle', 'simple and easy'.",Positive
Process,Feedback on operational processes - the ease or difficulty of procedures that shape the customer experience.,Call / Interaction Experience,Feedback about the overall call or interaction process flow.,Interaction Was Difficult / Frustrating,"Customer describes the interaction process as difficult, frustrating, or complicated. Include: 'frustrating', 'complicated', 'difficult', 'stressful', 'took too long'. Exclude wait time separately.",Negative
Process,Feedback on operational processes - the ease or difficulty of procedures that shape the customer experience.,Callback / Follow-Up,Feedback requesting or commenting on follow-up or callback.,Customer Requesting Callback,"Customer requests a callback. Include: 'please call me', 'call me back', 'need a call back', 'contact me now', 'give me a call'.",Neutral
Process,Feedback on operational processes - the ease or difficulty of procedures that shape the customer experience.,Callback / Follow-Up,Feedback requesting or commenting on follow-up or callback.,Technician No-Show / Did Not Show Up,"Customer states a technician or rep did not show up for a scheduled appointment. Include: 'never showed up', 'he didn't show up', 'he never came'.",Negative
Process,Feedback on operational processes - the ease or difficulty of procedures that shape the customer experience.,AI & Automation,Feedback specifically about automated systems IVR or AI chatbots in the service process.,Negative AI / Automation Experience,"Customer expresses frustration with AI, automated menus, or bots. Include: 'get rid of AI', 'AI is useless', 'hate the menu', 'your AI is useless', 'automated ****', 'do away with AI', 'need real people', 'humans please', 'speak to a human', 'get some Americans', 'more real humans'.",Negative
Process,Feedback on operational processes - the ease or difficulty of procedures that shape the customer experience.,AI & Automation,Feedback specifically about automated systems IVR or AI chatbots in the service process.,Positive AI / Automation Experience,"Customer positively mentions digital or automated experience. Include: 'easy chat', 'nice easy chat', 'digital was easy'. Exclude general ease of call.",Positive
Pricing,Feedback about cost pricing fees or billing - perceptions of value price fairness billing errors promotions and financial aspects.,Bill Amount,Feedback about the amount of the bill being too high or a desire to lower it.,Bill Too High / Lower My Bill,"Customer states bill or prices are too high or requests bill reduction. Include: 'lower my bill', 'too expensive', 'bill is too high', 'paying too much', 'prices are too high', 'cheaper prices', 'reduce my bill', 'my bill is high'. Include Spanish: 'muy caro el servicio'.",Negative
Pricing,Feedback about cost pricing fees or billing - perceptions of value price fairness billing errors promotions and financial aspects.,Bill Amount,Feedback about the amount of the bill being too high or a desire to lower it.,Bill Increase,"Customer notes their bill went up unexpectedly. Include: 'bill increase', 'prices went up', 'price increase'. Exclude general 'too expensive' without increase reference.",Negative
Pricing,Feedback about cost pricing fees or billing - perceptions of value price fairness billing errors promotions and financial aspects.,Billing Error / Dispute,Feedback about incorrect charges or billing disputes.,Billing Error / Overcharge,"Customer reports being incorrectly charged or overcharged. Include: 'overcharged', 'wrong charge', 'billing error', 'att over charge me', 'cobros k no acepte', 'billing issues'. Exclude general complaints about high bill.",Negative
Pricing,Feedback about cost pricing fees or billing - perceptions of value price fairness billing errors promotions and financial aspects.,Billing Error / Dispute,Feedback about incorrect charges or billing disputes.,Refund Request,"Customer is requesting a refund or credit. Include: 'refund my money', 'give me a refund', 'credit my account', 'I want money back', 'refund 5 months'. Exclude fraud/scam claims.",Negative
Pricing,Feedback about cost pricing fees or billing - perceptions of value price fairness billing errors promotions and financial aspects.,Billing Error / Dispute,Feedback about incorrect charges or billing disputes.,Fraud / Scam Claim,"Customer believes they have been scammed or defrauded. Include: 'I was scammed', 'this is a fraud', 'stole my money', 'you scammed us', 'son un fraude', 'THIS IS A FRAUD'. Exclude general dishonesty.",Negative
Pricing,Feedback about cost pricing fees or billing - perceptions of value price fairness billing errors promotions and financial aspects.,Promotions / Discounts,Feedback about promotions pricing deals or discounts.,Request for Discount / Better Pricing,"Customer requests a discount or better deal. Include: 'better prices', 'lower your rates', 'get me a discount', 'cheaper phone bill', 'better promotions'. Exclude general bill too high.",Negative
Pricing,Feedback about cost pricing fees or billing - perceptions of value price fairness billing errors promotions and financial aspects.,Promotions / Discounts,Feedback about promotions pricing deals or discounts.,Pricing Positive / Saved Money,"Customer is happy with pricing or mentions saving money. Include: 'helped me save money', 'good deal', 'great value'. Exclude general satisfaction.",Positive
Product,Feedback about the product or service itself - features quality usability reliability or performance in meeting customer needs.,Internet / WiFi Service,Feedback about home internet or WiFi service quality and performance.,Internet / WiFi Not Working,"Customer reports internet or WiFi is down or not working. Include: 'still no WiFi', 'fix my internet', 'internet ****', 'poor internet', 'WiFi still down', 'no internet', 'internet still down', 'still no service', 'FIX MY INTERNET'. Include Spanish: 'no tengo internet'.",Negative
Product,Feedback about the product or service itself - features quality usability reliability or performance in meeting customer needs.,Internet / WiFi Service,Feedback about home internet or WiFi service quality and performance.,Internet / WiFi Slow,"Customer reports slow internet or WiFi. Include: 'internet is slow', 'slow internet', 'poor WiFi speed', 'faster WiFi speed', 'need faster internet'.",Negative
Product,Feedback about the product or service itself - features quality usability reliability or performance in meeting customer needs.,Internet / WiFi Service,Feedback about home internet or WiFi service quality and performance.,Internet / WiFi Service Positive,"Customer is happy with internet or WiFi service. Include: 'great WiFi', 'love my internet', 'great wifi services'. Exclude general satisfaction with the interaction.",Positive
Product,Feedback about the product or service itself - features quality usability reliability or performance in meeting customer needs.,Wireless / Phone Service,Feedback about wireless phone service signal and mobile device.,Wireless / Phone Not Working,"Customer reports phone or wireless service is not working. Include: 'fix my phone', 'still no phone', 'phone went dead', 'call was dropped', 'tower was down', 'mala cobertura', 'fixed my phone'.",Negative
Product,Feedback about the product or service itself - features quality usability reliability or performance in meeting customer needs.,Wireless / Phone Service,Feedback about wireless phone service signal and mobile device.,Device / Equipment Issue,"Customer mentions a device hardware or equipment problem. Include: 'need new modem', 'router', 'equipment', 'modem', 'phone issue'. Exclude service outage separately.",Negative
Product,Feedback about the product or service itself - features quality usability reliability or performance in meeting customer needs.,TV / Video Service,Feedback about video or TV service.,TV Service Not Working,"Customer reports TV service issue. Include: 'need my TV fixed', 'TV problem'. Limited volume.",Negative
Product,Feedback about the product or service itself - features quality usability reliability or performance in meeting customer needs.,Fiber / Network Infrastructure,Feedback about fiber optic service availability or infrastructure.,Fiber Not Available / Request for Fiber,"Customer requests fiber or notes it is not available in their area. Include: 'cannot get fiber', 'need fiber in area', 'fiber optic internet', 'the new fiber'. Limited volume.",Negative
Policy,Feedback about company policies or terms - contracts warranties compliance or rules that impact the customer.,Cancellation / Switching,Feedback about canceling service or switching to another provider.,Canceling / Switching Provider,"Customer states they are canceling or switching to a competitor. Include: 'cancel my account', 'I want to cancel', 'going to Verizon', 'going to T-Mobile', 'I'm leaving AT&T', 'changing carrier', 'im leaving att'. Exclude general negative sentiment.",Negative
Policy,Feedback about company policies or terms - contracts warranties compliance or rules that impact the customer.,Cancellation / Switching,Feedback about canceling service or switching to another provider.,Retention / Loyalty Positive,"Customer expresses loyalty or appreciation for AT&T. Include: 'love AT&T', 'AT&T is the best', 'thankful for AT&T', 'I love my AT&T'. Exclude general satisfaction.",Positive
Policy,Feedback about company policies or terms - contracts warranties compliance or rules that impact the customer.,Company Policy Complaint,Feedback about unfair or confusing company policies.,Policy / Contract Complaint,"Customer complains about company policies, contracts, or terms. Include: 'your policies ****', 'lying in contract', 'honor your contract', 'your policies', 'corporate greed'. Exclude billing errors (see Billing Error).",Negative
Policy,Feedback about company policies or terms - contracts warranties compliance or rules that impact the customer.,Outsourcing / Staffing Concern,Feedback about AT&T's use of outsourced or foreign-language support.,Don't Outsource / Use Local Staff,"Customer requests AT&T stop outsourcing or use local/American agents. Include: 'don't outsource', 'use local people', 'get some Americans', 'get correct answers', 'quit outsourcing'.",Negative
Platform,Feedback about technology and channels - website app system performance digital UI access issues outages security.,App / Website Issues,Feedback about the AT&T app or website performance.,App / Website Not Working,"Customer reports issues with the AT&T app or website. Include: 'app is not working', 'your website ****', 'website issue'. Limited volume.",Negative
Platform,Feedback about technology and channels - website app system performance digital UI access issues outages security.,Digital Account Access,Feedback about accessing or managing account digitally.,Account Access Issue,"Customer cannot access or manage their account digitally. Include: 'need to get email', 'account set up', 'need my WiFi account', 'voicemail locked'. Limited volume.",Negative
Survey Artifact,Verbatims that are not genuine customer feedback and do not reflect a real customer experience or opinion.,No Feedback,Customer declines to provide feedback or indicates nothing to share.,"No Comment / Nothing to Share","Customer explicitly states they have nothing to say or no feedback. Include: 'no thank you', 'nothing else', 'nothing to add', 'not at this time', 'none at this time', 'nothing to share', 'no comment', 'nothing further', 'nothing right now', 'nope all good'. Must not contain any actionable sentiment. Exclude if paired with positive/negative content.",Neutral
Survey Artifact,Verbatims that are not genuine customer feedback and do not reflect a real customer experience or opinion.,Error Correction,Customer clarifies they selected the wrong rating or answer.,Score / Answer Correction,"Customer states they selected the wrong number or rating. Include: '1 should be 5', 'sorry I meant 5', 'change 1 to 5', 'meant to hit 5', 'oops I meant 5', 'typo I meant 5', 'correction: 5', 'sorry wrong answer', 'made a mistake', 'my bad it's a 5', 'I hit wrong number'. Exclude verbatims that are also providing content feedback.",Neutral
Survey Artifact,Verbatims that are not genuine customer feedback and do not reflect a real customer experience or opinion.,Stop / Opt-Out,Customer requests to stop receiving survey communications.,Stop / Do Not Contact,"Customer asks to stop receiving surveys or communications. Include: 'stop', 'stop texting me', 'don't call me', 'leave me alone', 'stop asking me', 'stop these messages'.",Neutral
Survey Artifact,Verbatims that are not genuine customer feedback and do not reflect a real customer experience or opinion.,Wrong Customer,Verbatim indicates the survey was received by the wrong person or they have no knowledge of the interaction.,Wrong Customer / Don't Know Rep,"Customer indicates they did not have the interaction or don't recognize the rep named. Include: 'who is [name]?', 'I wasn't there', 'IDK who [name] is', 'don't know her', 'it wasn't Maria'. Exclude general confusion.",Neutral
Survey Artifact,Verbatims that are not genuine customer feedback and do not reflect a real customer experience or opinion.,Irrelevant / Unintelligible,Verbatim is unintelligible junk text or completely off-topic.,Unintelligible / Junk Text,"Verbatim is random characters symbols or completely off-topic. Include: '!!!!!!!!!!!!!', '?????', random symbols, 'love the food', 'is she married'. Exclude Spanish/foreign language (route to appropriate category after translation).",Neutral
Survey Artifact,Verbatims that are not genuine customer feedback and do not reflect a real customer experience or opinion.,Foreign Language,Verbatim is in a non-English language requiring translation before classification.,Non-English Verbatim (Pending Translation),"Verbatim is predominantly in Spanish or another foreign language and cannot be classified without translation. Flag for translation workflow. Note: Many Spanish verbatims CAN be classified directly (e.g., 'Muy satisfecho' = Overall Satisfaction Positive). Only use this sub-topic when the full meaning cannot be determined.",Neutral
