Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity,Survey_Channel,Est_Count,Est_Pct,Actionable_Owner
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Ease of Interaction & Process Friction,How easy or difficult the overall interaction experience felt — from reaching the rep to completing the task.,Interaction Was Difficult / Frustrating / Complicated,"Customer describes the interaction as difficult frustrating complicated stressful or a waste of time. Include: 'frustrating' 'complicated' 'difficult process' 'stressful' 'waste of time' 'wasted my time' 'terrible process' 'nightmare' 'ordeal' 'ridiculous process'. Separate from wait time — focuses on process complexity.",Negative,All,620,0.7%,CX Design
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Ease of Interaction & Process Friction,How easy or difficult the overall interaction experience felt — from reaching the rep to completing the task.,Process Was Confusing / Unclear Next Steps,"Customer was confused about what to do next or what would happen after the interaction. Include: 'didn't know what to expect' 'confusing process' 'unclear what happens next' 'no one told me the next step' 'left not knowing' 'don't understand what to do now' 'what am I supposed to do now'. Signals communication/handoff gap.",Negative,All,180,0.2%,Process Design / Training
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Transfers & Routing,Customer experience with being transferred between departments or agents during the interaction.,Too Many Transfers / Bounced Around,"Customer was transferred multiple times or bounced between departments without resolution. Include: 'transferred too many times' 'kept being transferred' 'spoke to multiple people' 'bounced around' 'passed around' 'transferred 4 times' 'sent to wrong department' 'kept getting shuffled'. Process failure signal — high effort.",Negative,Care,95,0.1%,Operations / Routing
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Transfers & Routing,Customer experience with being transferred between departments or agents during the interaction.,Had to Repeat Information After Transfer,"Customer had to re-explain their issue to each new person after being transferred. Include: 'had to repeat myself' 'explain my issue again' 'start over every time' 're-explain to each person' 'no one had my info' 'kept repeating my story' 'they had no notes from the last rep'. Systemic CRM/notes process failure.",Negative,Care,110,0.1%,IT Systems / Process Design
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Transfers & Routing,Customer experience with being transferred between departments or agents during the interaction.,Transferred to Right Person / Smooth Handoff,"Customer was transferred but the handoff was smooth and effective. Include: 'transferred to the right person' 'got me to someone who could help' 'smooth transfer' 'the next person already knew my issue' 'good handoff' 'connected to the right department quickly'. Positive routing signal.",Positive,Care,280,0.3%,Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Escalation & Supervisor Access,Customer's experience trying to reach a supervisor or escalate their issue beyond the frontline rep.,Supervisor Was Helpful / Resolved Issue,"Customer reached a supervisor and the escalation resulted in resolution. Include: 'supervisor fixed it' 'manager helped' 'once I got a supervisor it was resolved' 'supervisor took care of it' 'escalated and it was handled' 'manager made it right'. Service recovery signal.",Positive,All,145,0.2%,Operations / Leadership
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Escalation & Supervisor Access,Customer's experience trying to reach a supervisor or escalate their issue beyond the frontline rep.,Could Not Reach Supervisor / Denied Escalation,"Customer tried to escalate but was denied access to a supervisor or manager. Include: 'wouldn't let me speak to a supervisor' 'no supervisor available' 'refused to transfer to manager' 'can't get a supervisor' 'asked for manager and was denied' 'no one above them apparently'. Customer powerlessness signal — high churn risk.",Negative,All,120,0.1%,Operations / Policy
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Escalation & Supervisor Access,Customer's experience trying to reach a supervisor or escalate their issue beyond the frontline rep.,Supervisor Was Unhelpful / Same as Rep,"Customer reached a supervisor but the outcome was no different — supervisor could not or would not help. Include: 'supervisor was no better' 'manager said the same thing' 'supervisor couldn't help either' 'even the manager couldn't fix it' 'escalated for nothing' 'supervisor was just as useless'. Signals systemic issue vs. individual rep issue.",Negative,All,85,0.1%,Operations / Leadership
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Callback & Follow-Up,Customer requests or comments on follow-up callbacks promised callbacks or proactive outreach.,Customer Requesting Callback / Follow-Up,"Customer requests a callback or follow-up contact. Include: 'please call me' 'call me back' 'need a call back' 'contact me now' 'give me a call' 'I need a call back' 'please respond back' 'need someone to reach out'. Unresolved need signal — track for outbound operations.",Neutral,All,380,0.4%,Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Callback & Follow-Up,Customer requests or comments on follow-up callbacks promised callbacks or proactive outreach.,Promised Callback Never Received,"Customer was promised a callback that never came. Include: 'never got a callback' 'said they'd call back and didn't' 'waiting for a call that never came' 'promised a call back — nothing' 'no one ever called me back' 'still waiting for the callback'. Overlaps with broken promise (People) but is specifically about the callback process.",Negative,All,220,0.3%,Operations / QA
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Callback & Follow-Up,Customer requests or comments on follow-up callbacks promised callbacks or proactive outreach.,Received Proactive Follow-Up / Status Update,"Customer was pleasantly surprised by proactive outreach — a follow-up call text or status update they didn't have to request. Include: 'got a follow-up call' 'they actually called me back' 'received a status update' 'texted me an update' 'checked in on me' 'followed up to make sure'. Service recovery and trust-building signal.",Positive,All,95,0.1%,Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Call / Connection Issues,Technical issues with the call or chat connection itself — distinct from rep behavior.,Call Was Dropped / Disconnected,"Customer reports call was dropped or they were disconnected mid-interaction. Include: 'call was dropped' 'got disconnected' 'call dropped' 'we got disconnected' 'call was ignored' 'line went dead' 'dropped my call' 'chat disconnected'. Track for network/call center tech issues — distinct from rep hanging up (see People).",Negative,Care,110,0.1%,Technology / Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Call / Connection Issues,Technical issues with the call or chat connection itself — distinct from rep behavior.,Chat Disconnected / Session Ended Prematurely,"Customer's chat session ended before issue was resolved — timeout or disconnect. Include: 'chat ended' 'chat disconnected' 'session timed out' 'chat closed on me' 'got disconnected from chat' 'had to start a new chat'. Digital channel reliability signal.",Negative,Care,65,0.1%,Digital / Technology
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,AI Automation & IVR Experience,Customer feedback specifically about automated systems IVR menu navigation chatbots or AI assistants in the service journey.,Negative AI / IVR / Bot Experience,"Customer expresses frustration with AI automated menus bots or IVR systems. Include: 'get rid of AI' 'AI is useless' 'hate the menu' 'your AI is useless' 'automated ****' 'do away with AI' 'need real people' 'humans please' 'speak to a human' 'AI is terrible' 'stop the AI' 'less AI' 'hate electronics' 'automation stinks' 'just let me talk to a person'. Strategic signal for AI investment decisions.",Negative,Care,340,0.4%,Digital / AI Strategy
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,AI Automation & IVR Experience,Customer feedback specifically about automated systems IVR menu navigation chatbots or AI assistants in the service journey.,Positive Digital / Chat / Self-Service Experience,"Customer positively mentions digital chat or self-service experience. Include: 'easy chat' 'nice easy chat' 'digital was easy' 'quick online' 'website was easy' 'app made it simple' 'self-service was great' 'chatbot actually helped' 'resolved it myself online'. Track against AI/digital investment ROI.",Positive,All,65,0.1%,Digital
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,AI Automation & IVR Experience,Customer feedback specifically about automated systems IVR menu navigation chatbots or AI assistants in the service journey.,IVR / Phone Menu Navigation Difficulty,"Customer specifically struggled with phone menu navigation — couldn't reach a live person or menus were confusing. Include: 'press 1 press 2 nonsense' 'couldn't get through the menu' 'your phone system is terrible' 'just let me talk to someone' 'menu doesn't have my option' 'stuck in a loop' 'phone tree is ridiculous'. Distinct from general AI sentiment — focused on IVR UX specifically.",Negative,Care,190,0.2%,IVR Design / Digital
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Proactive Communication & Transparency,Whether AT&T proactively communicated with the customer about issues outages changes or status — before the customer had to contact them.,Appreciated Proactive Communication / Notification,"Customer appreciated being notified proactively about an outage change or status. Include: 'glad you texted me' 'thanks for the update' 'appreciate the notification' 'good that you let me know' 'nice to get an alert'. Low volume currently but signals CX differentiation opportunity.",Positive,All,45,0.1%,CX Design / Communications
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Proactive Communication & Transparency,Whether AT&T proactively communicated with the customer about issues outages changes or status — before the customer had to contact them.,No Communication / Not Notified About Issue or Change,"Customer was not informed about an outage service change billing change or status — had to discover it themselves. Include: 'no one told me' 'wasn't notified' 'found out on my own' 'no communication' 'should have been told' 'why wasn't I informed' 'had no idea until I checked' 'no heads up' 'zero communication'. Trust erosion signal — drives inbound contacts.",Negative,All,165,0.2%,Communications / Process Design
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolve issues navigate systems and complete the customer's goal.,Proactive Communication & Transparency,Whether AT&T proactively communicated with the customer about issues outages changes or status — before the customer had to contact them.,Lack of Transparency / Felt Kept in the Dark,"Customer felt AT&T was not transparent about what was happening with their account service or issue. Include: 'not transparent' 'kept in the dark' 'hiding something' 'won't tell me what's going on' 'no visibility' 'they don't communicate' 'left me guessing' 'evasive'. Broader than single notification — pattern of opacity.",Negative,All,95,0.1%,Process Design / Leadership
