Category,Category_Definition,Topic,Topic_Definition,Sub_Topic,Sub_Topic_Definition,Polarity,Est_Count,Est_Pct,Actionable_Owner
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Knowledge & Accuracy,How well the rep understood the product gave accurate information and demonstrated expertise.,Rep Was Dishonest / Misleading / Deceptive,"Customer believes rep intentionally lied, misled, or deceived them. Include: 'being lied to', 'I was lied to', 'she lied', 'misleading', 'he was not truthful', 'I was misguided', 'felt deceived', 'lied in contract'. High severity — flag for investigation.",Negative,175,0.2%,QA / Compliance
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Patience & Thoroughness,Whether the rep took adequate time listened carefully and was thorough in their approach.,Rep Was Patient,"Customer explicitly mentions patience. Include: 'very patient', 'he was patient', 'so patient', 'patient with me', 'took her time', 'took time to explain', 'patient person'. Strong satisfaction driver.",Positive,3200,3.7%,Workforce Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Patience & Thoroughness,Whether the rep took adequate time listened carefully and was thorough in their approach.,Rep Was Thorough / Detailed,"Rep gave thorough explanation or was detail-oriented. Include: 'very thorough', 'explained everything', 'went through everything', 'detailed', 'thorough walkthrough'. Combine with knowledgeable for training signal.",Positive,1400,1.6%,Training
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Patience & Thoroughness,Whether the rep took adequate time listened carefully and was thorough in their approach.,Rep Was Impatient / Rushed,"Rep rushed the customer or was impatient. Include: 'too fast', 'rushed me', 'didn't take time', 'felt hurried', 'was not patient'. Exclude dismissive/rude (separate sub-topic).",Negative,95,0.1%,QA / Coaching
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Communication Clarity,How clearly the rep communicated — language clarity comprehension and ability to explain.,Rep Communicated Clearly / Easy to Understand,"Customer praised rep's communication clarity. Include: 'clear explanation', 'easy to understand', 'well explained', 'communicated well', 'clear and concise', 'easy to talk to', 'bueno y claro'. Track for bilingual/accent monitoring.",Positive,1100,1.3%,Training
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Communication Clarity,How clearly the rep communicated — language clarity comprehension and ability to explain.,Language / Communication Barrier,"Customer had difficulty understanding rep due to language or accent. Include: 'hard to understand', 'couldn't understand', 'language barrier', 'accent was strong', 'speak clear English', 'speak English', 'can't understand him'. Note: Do NOT use if customer is non-English themselves.",Negative,210,0.2%,Workforce / Routing
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Communication Clarity,How clearly the rep communicated — language clarity comprehension and ability to explain.,Request for US-Based / English-Speaking Rep,"Customer explicitly requests domestic agents or English-speaking reps. Include: 'get some Americans', 'don't outsource', 'use local people', 'quit outsourcing', 'proper English', 'get correct answers'. Policy/ops signal.",Negative,120,0.1%,Operations / Workforce
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Recognition & Retention,Customer expresses desire to formally recognize or retain a rep.,Give Rep a Raise / Promotion,"Customer recommends rep for raise or promotion. Include: 'give her a raise', 'give him a raise', 'give him a promotion', 'keep her', 'he's a keeper', 'she's a keeper', 'she's a superstar', 'she deserves a raise', 'promote her'. High satisfaction signal — retention opportunity.",Positive,890,1.0%,Workforce Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Rep Recognition & Retention,Customer expresses desire to formally recognize or retain a rep.,Rep Named Specifically (Positive Mention),"Customer names a specific rep positively but without raise/promotion language. Include: 'John was great', 'Maria was excellent', 'Sam was helpful'. Use for individual rep performance tracking. Flag name for supervisor.",Positive,8500,9.8%,Workforce Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Overall Rep Satisfaction,Holistic satisfaction or dissatisfaction with the rep not attributed to a specific behavior.,Rep Overall Positive (General Praise),"General praise for the rep without a specific behavior anchor. Include: 'she was great', 'he was amazing', 'awesome rep', 'wonderful person', 'excellent employee', 'great service', 'she's awesome', 'he was fantastic'. Only use when no specific behavior sub-topic applies — prefer specific sub-topics.",Positive,15200,17.5%,Workforce Management
People,Feedback about staff performance behavior and interpersonal interactions with reps agents or technicians.,Overall Rep Satisfaction,Holistic satisfaction or dissatisfaction with the rep not attributed to a specific behavior.,Rep Overall Negative (General Dissatisfaction),"General negative about rep without specific behavior. Include: 'bad experience', 'total failure', 'horrible', 'waste of time', 'terrible rep', 'worst rep'. Prefer specific sub-topics when behavior is identifiable.",Negative,380,0.4%,QA / Coaching
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,Issue Resolution & Outcome,Whether the customer's issue or request was actually resolved.,Issue Resolved / Problem Solved,"Customer confirms issue was resolved. Include: 'issue resolved', 'problem solved', 'fixed', 'resolved my issue', 'got it done', 'resolved pronto', 'todo resuelto', 'si me resolvi', 'fixed the ticket'. Primary resolution metric.",Positive,2800,3.2%,Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,Issue Resolution & Outcome,Whether the customer's issue or request was actually resolved.,Issue Not Resolved / Still Unresolved,"Customer confirms issue was not resolved or is still ongoing. Include: 'issue not fixed', 'not resolved', 'still not working', 'nothing resolved', 'still have a problem', 'never finished', 'still unresolved', 'problem not solved', 'still isn't resolved'. Direct CSAT driver.",Negative,680,0.8%,Operations / Escalations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,Issue Resolution & Outcome,Whether the customer's issue or request was actually resolved.,Partial Resolution / Issue Ongoing,"Customer indicates some progress but issue not fully resolved. Include: 'still in progress', 'partially fixed', 'working on it', 'time will tell', 'waiting on results', 'not done yet', 'solved for now'. Track for recontact risk.",Neutral,310,0.4%,Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,Wait Time & Speed of Service,Time spent waiting on hold during transfer or for service to begin.,Wait Time Too Long / Long Hold,"Customer complains about wait time or time on hold. Include: 'long wait time', 'took too long', 'too long on hold', 'waited too long', 'long hold', 'takes too long', 'long waiting time', 'took an hour', 'wait time insulting'. Strong CSAT detractor.",Negative,820,0.9%,Operations / Staffing
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,Wait Time & Speed of Service,Time spent waiting on hold during transfer or for service to begin.,Service Was Fast / Quick / Efficient,"Customer positively mentions speed. Include: 'fast and easy', 'quick service', 'quick response', 'no wait', 'prompt service', 'fast service', 'efficient', 'responded quickly', 'rapid'. Track as differentiator.",Positive,1800,2.1%,Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,Wait Time & Speed of Service,Time spent waiting on hold during transfer or for service to begin.,Request for Shorter Wait / More Staffing,"Customer explicitly requests shorter wait times or more reps. Include: 'need more reps', 'hire more people', 'shorter wait times', 'shorten hold time', 'answer your phones', 'need more employees'. Operations staffing signal.",Negative,140,0.2%,Operations / Staffing
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,Ease of Interaction & Process Friction,How easy or difficult the overall interaction experience felt — from reaching the rep to completing the task.,Interaction Was Easy / Smooth / Seamless,"Customer describes interaction as easy, smooth, seamless, painless, or simple. Include: 'easy process', 'went smoothly', 'seamless', 'painless', 'no hassle', 'simple and easy', 'quick and easy', 'easy and quick'. Benchmark for process design.",Positive,2400,2.8%,CX Design
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,Ease of Interaction & Process Friction,How easy or difficult the overall interaction experience felt — from reaching the rep to completing the task.,Interaction Was Difficult / Frustrating / Complicated,"Customer describes the interaction as difficult, frustrating, complicated, stressful, or a waste of time. Include: 'frustrating', 'complicated', 'difficult process', 'stressful', 'waste of time', 'wasted my time', 'terrible process'. Separate from wait time.",Negative,620,0.7%,CX Design
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,Ease of Interaction & Process Friction,How easy or difficult the overall interaction experience felt — from reaching the rep to completing the task.,Too Many Transfers / Bounced Around,"Customer was transferred multiple times or bounced between departments. Include: 'transferred too many times', 'kept being transferred', 'spoke to multiple people', 'bounced around', 'passed around'. Distinct process failure signal.",Negative,95,0.1%,Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,Callback & Follow-Up,Customer requests or comments on follow-up callbacks or technician appointments.,Customer Requesting Callback / Follow-Up,"Customer requests a callback. Include: 'please call me', 'call me back', 'need a call back', 'contact me now', 'give me a call', 'I need a call back', 'please respond back'. Unresolved need signal.",Neutral,380,0.4%,Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,Callback & Follow-Up,Customer requests or comments on follow-up callbacks or technician appointments.,Technician No-Show / Did Not Show Up,"Technician did not show up for scheduled appointment. Include: 'never showed up', 'he didn't show up', 'he never came', 'no one showed up', 'did not show up', 'did he even show up'. Schedule/dispatch failure.",Negative,85,0.1%,Field Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,Callback & Follow-Up,Customer requests or comments on follow-up callbacks or technician appointments.,Call Was Dropped / Disconnected,"Customer reports call was dropped or they were disconnected. Include: 'call was dropped', 'got disconnected', 'call dropped', 'we got disconnected', 'call was ignored'. Track for network/call center tech issues.",Negative,110,0.1%,Technology / Operations
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,AI Automation & IVR Experience,Customer feedback specifically about automated systems IVR chatbots or AI assistants in the service journey.,Negative AI / IVR / Bot Experience,"Customer expresses frustration with AI, automated menus, bots, or IVR. Include: 'get rid of AI', 'AI is useless', 'hate the menu', 'your AI is useless', 'automated ****', 'do away with AI', 'need real people', 'humans please', 'speak to a human', 'AI is terrible', 'stop the AI app', 'less AI assistance', 'I hate electronics', 'automation stinks'. Strategic signal for AI investment.",Negative,340,0.4%,Digital / AI Strategy
Process,Feedback about operational and service delivery processes — how easy or difficult it was to get service resolving issues wait times and interaction flow.,AI Automation & IVR Experience,Customer feedback specifically about automated systems IVR chatbots or AI assistants in the service journey.,Positive Digital / Chat Experience,"Customer positively mentions digital, chat, or self-service experience. Include: 'easy chat', 'nice easy chat', 'digital was easy', 'quick online', 'website was easy'. Track against AI investment.",Positive,65,0.1%,Digital
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Bill Amount & Affordability,How customers feel about the overall level of their bill — too high or acceptable.,Bill Is Too High / Too Expensive,"Customer states bill or prices are too high, too expensive, or wants to pay less. Include: 'too expensive', 'bill is too high', 'paying too much', 'prices are too high', 'my bill is high', 'very expensive', 'bill too high', 'muy caro el servicio'. Primary pricing dissatisfier.",Negative,1100,1.3%,Pricing Strategy
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Bill Amount & Affordability,How customers feel about the overall level of their bill — too high or acceptable.,Request to Lower Bill / Reduce Costs,"Customer explicitly requests bill reduction or cheaper options. Include: 'lower my bill', 'lower my phone bill', 'reduce my bill', 'need lower prices', 'cheaper prices', 'lower the cost', 'lower your rates', 'try down my bill', 'need my bill lower'. Direct churn prevention signal.",Negative,890,1.0%,Pricing / Retention
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Bill Amount & Affordability,How customers feel about the overall level of their bill — too high or acceptable.,Pricing Positive / Good Value / Saved Money,"Customer is positive about pricing or mentions saving money. Include: 'helped me save money', 'good deal', 'great value', 'love to save money', 'transparent prices'. Track as retention/acquisition signal.",Positive,120,0.1%,Marketing
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Bill Increase & Rate Changes,Feedback specifically about bills going up or unexpected price increases.,Bill Increased / Price Went Up,"Customer reports unexpected bill increase. Include: 'bill increase', 'prices went up', 'price increase', 'my bill went up', 'bill keeps going up', 'rate increase'. Track month-over-month for anomaly detection.",Negative,420,0.5%,Pricing Strategy
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Bill Increase & Rate Changes,Feedback specifically about bills going up or unexpected price increases.,Corporate Greed / Predatory Pricing Language,"Customer uses strong language implying AT&T is exploitative. Include: 'corporate greed', 'money hungry', 'you charge too much', 'you're too expensive', 'are to expensive', 'yall money hungry'. Churn risk + brand reputation signal.",Negative,140,0.2%,Pricing / Brand
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Billing Errors & Disputes,Customer reports incorrect charges unauthorized charges or billing discrepancies.,Billing Error / Incorrect Charge / Overcharge,"Customer reports being incorrectly charged or overcharged. Include: 'overcharged', 'wrong charge', 'billing error', 'att over charge me', 'billing issues', 'cobros k no acepte', 'incorrect bill'. Escalation flag.",Negative,220,0.3%,Billing Operations
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Billing Errors & Disputes,Customer reports incorrect charges unauthorized charges or billing discrepancies.,Refund / Credit Request,"Customer is requesting a refund or account credit. Include: 'refund my money', 'give me a refund', 'credit my account', 'I want money back', 'refund 5 months', 'reimburse', 'I need my money back'. Revenue protection signal.",Negative,185,0.2%,Billing Operations
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Billing Errors & Disputes,Customer reports incorrect charges unauthorized charges or billing discrepancies.,Fraud / Scam Allegation,"Customer believes they were scammed or defrauded. Include: 'I was scammed', 'this is a fraud', 'stole my money', 'you scammed us', 'son un fraude', 'THIS IS A FRAUD', 'you guys scammed me', 'ATT is always lying', 'att is full of liars'. Legal/compliance flag — high severity.",Negative,130,0.1%,Legal / Compliance
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Promotions & Discounts,Customer feedback about promotions deals discounts or requests for better pricing.,Request for Discount / Better Deal / Promotion,"Customer requests a discount or better promotion. Include: 'better prices', 'lower your rates', 'get me a discount', 'cheaper phone bill', 'better promotions', 'offer more discounts', 'cheaper phone rates'. Track for win-back/retention opportunities.",Negative,210,0.2%,Marketing / Retention
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Promotions & Discounts,Customer feedback about promotions deals discounts or requests for better pricing.,Uverse / Bundled Service Cost Complaint,"Customer complains specifically about TV/Uverse or bundled service pricing. Include: 'uverse is too high', 'cable bill', 'bundle too expensive'. Separate from general bill complaints for product-level tracking.",Negative,55,0.1%,Product Pricing
Pricing,Feedback about cost pricing fees billing charges or the perceived value of AT&T products and services.,Cancellation Threat Due to Cost,Customer explicitly links high cost to cancellation or switching intent.,Leaving / Canceling Due to Cost,"Customer states they are leaving or canceling specifically because of price. Include: 'going to Verizon because too expensive', 'leaving AT&T, too expensive', 'I'm canceling, bill too high', 'switching because cheaper elsewhere'. Churn risk + pricing signal.",Negative,95,0.1%,Retention
Product,Feedback about the quality reliability or performance of AT&T's wireless broadband TV or other products and services.,Internet / WiFi Service Quality,Customer feedback about home internet or WiFi service performance speed or outages.,Internet / WiFi Not Working / Down,"Customer reports internet or WiFi is completely down or not working. Include: 'still no WiFi', 'fix my internet', 'internet ****', 'WiFi still down', 'no internet', 'internet still down', 'still no service', 'FIX MY INTERNET', 'we never got WiFi', '18 days with no WiFi'. High-urgency service failure.",Negative,480,0.6%,Network Operations
Product,Feedback about the quality reliability or performance of AT&T's wireless broadband TV or other products and services.,Internet / WiFi Service Quality,Customer feedback about home internet or WiFi service performance speed or outages.,Slow Internet / Poor WiFi Speed,"Customer reports slow internet or poor WiFi speed. Include: 'internet is slow', 'slow internet', 'poor WiFi speed', 'faster WiFi speed', 'need faster internet', 'internet not great', 'poor internet'. Track for network investment signal.",Negative,145,0.2%,Network Engineering
Product,Feedback about the quality reliability or performance of AT&T's wireless broadband TV or other products and services.,Internet / WiFi Service Quality,Customer feedback about home internet or WiFi service performance speed or outages.,Internet / WiFi Service Positive,"Customer is satisfied with internet service. Include: 'great WiFi', 'love my internet', 'great wifi services', 'I like my internet', 'I love my internet'. Track retention signal.",Positive,85,0.1%,Product Marketing
Product,Feedback about the quality reliability or performance of AT&T's wireless broadband TV or other products and services.,Wireless / Mobile Service Quality,Customer feedback about wireless phone service signal coverage dropped calls or mobile service failures.,Wireless / Phone Service Not Working,"Customer reports phone or wireless service failure. Include: 'fix my phone', 'still no phone', 'phone went dead', 'mala cobertura', 'landline still dead', 'tower was down', 'no service'. Separate from device issues.",Negative,220,0.3%,Network Operations
Product,Feedback about the quality reliability or performance of AT&T's wireless broadband TV or other products and services.,Wireless / Mobile Service Quality,Customer feedback about wireless phone service signal coverage dropped calls or mobile service failures.,Device / Equipment / Hardware Issue,"Customer mentions a device, modem, router, or hardware problem. Include: 'need new modem', 'router issue', 'equipment problem', 'modem', 'my modem lite is off', 'need a new router', 'Wi-Fi keeps dropping'. Separate from service outage.",Negative,180,0.2%,Technical Support
Product,Feedback about the quality reliability or performance of AT&T's wireless broadband TV or other products and services.,Wireless / Mobile Service Quality,Customer feedback about wireless phone service signal coverage dropped calls or mobile service failures.,Coverage / Signal Issue,"Customer reports poor signal or coverage problems. Include: 'poor coverage', 'bad signal', 'no signal', 'coverage issue', 'falta de la senal'. Geographic signal for network planning.",Negative,75,0.1%,Network Planning
Product,Feedback about the quality reliability or performance of AT&T's wireless broadband TV or other products and services.,Fiber & New Technology,Customer feedback about fiber optic service availability infrastructure or new technology offerings.,Fiber Not Available / Request for Fiber,"Customer requests fiber or reports it is unavailable in their area. Include: 'cannot get fiber', 'need fiber in area', 'fiber optic internet', 'the new fiber', 'wish there was fiber'. Infrastructure investment signal.",Neutral,90,0.1%,Network Planning
Product,Feedback about the quality reliability or performance of AT&T's wireless broadband TV or other products and services.,Fiber & New Technology,Customer feedback about fiber optic service availability infrastructure or new technology offerings.,Request for Better / Newer Technology,"Customer requests upgrade or newer technology. Include: 'need faster speeds', '5G', 'to get 5G all of it', 'get better equipment'. Track for product roadmap.",Neutral,55,0.1%,Product Management
Product,Feedback about the quality reliability or performance of AT&T's wireless broadband TV or other products and services.,TV / Video Service Quality,Customer feedback about video or TV service.,TV Service Issue,"Customer reports TV service problem. Include: 'need my TV fixed', 'TV problem', 'no we need a new TV'. Low volume but track for bundled service retention.",Negative,45,0.1%,Product Operations
Policy,Feedback about AT&T company policies contracts terms of service cancellation or business practices that impact the customer.,Cancellation & Switching Intent,Customer expresses intent to cancel service or switch to a competitor.,Canceling / Leaving AT&T (General),"Customer states they are leaving or have left AT&T without specifying reason. Include: 'cancel my account', 'I want to cancel', 'I'm leaving AT&T', 'im leaving att', 'I am dropping AT&T', 'I am cancelling ATT', 'I cancelled service'. Primary churn signal.",Negative,280,0.3%,Retention
Policy,Feedback about AT&T company policies contracts terms of service cancellation or business practices that impact the customer.,Cancellation & Switching Intent,Customer expresses intent to cancel service or switch to a competitor.,Switching to Competitor Named,"Customer names a specific competitor they are switching to. Include: 'going to Verizon', 'going to T-Mobile', 'changing carrier', 'switching my service', 'changing company', 'going to Verison', 'I'm going to T-Mobile'. Track by competitor for competitive intelligence.",Negative,155,0.2%,Retention / Competitive Intel
Policy,Feedback about AT&T company policies contracts terms of service cancellation or business practices that impact the customer.,Company Policy & Contract Complaints,Feedback about specific policies terms or business practices the customer finds unfair.,Policy / Contract Complaint,"Customer complains about company policies, contracts, or terms. Include: 'your policies ****', 'lying in contract', 'honor your contract', 'your policies', 'bad policies', 'terms are unfair'. Tag for policy review.",Negative,110,0.1%,Policy / Legal
Policy,Feedback about AT&T company policies contracts terms of service cancellation or business practices that impact the customer.,Company Policy & Contract Complaints,Feedback about specific policies terms or business practices the customer finds unfair.,Late Fees / Auto-Pay / Payment Policy Complaint,"Customer complains about late fees auto-pay or payment policies. Include: 'I hate late fees', 'stop auto pay', 'payment issue', 'auto-pay problem'. Billing operations signal.",Negative,70,0.1%,Billing Policy
Policy,Feedback about AT&T company policies contracts terms of service cancellation or business practices that impact the customer.,Brand Loyalty & Retention,Customer expresses loyalty to AT&T or appreciation for the brand.,AT&T Brand Loyalty / Positive Brand Sentiment,"Customer expresses loyalty or positive brand sentiment. Include: 'love AT&T', 'AT&T is the best', 'thankful for AT&T', 'I Love My AT&T', 'great to speak with', 'att always very good'. Retention and NPS signal.",Positive,420,0.5%,Marketing / Brand
Policy,Feedback about AT&T company policies contracts terms of service cancellation or business practices that impact the customer.,Brand Loyalty & Retention,Customer expresses loyalty to AT&T or appreciation for the brand.,AT&T Brand Negative / Dissatisfied with Company,"Customer expresses overall dissatisfaction or anger with AT&T as a company. Include: 'AT&T ****', 'worst company', 'I hate AT&T', 'ATT is horrible', 'don't like AT&T', 'att is terrible'. High churn risk signal.",Negative,350,0.4%,Brand / Retention
Policy,Feedback about AT&T company policies contracts terms of service cancellation or business practices that impact the customer.,Outsourcing & Staffing Practices,Customer feedback about AT&T's use of outsourced foreign or non-domestic support staff.,Request to Stop Outsourcing / Use Local Staff,"Customer requests local or American agents. Include: 'don't outsource', 'use local people', 'get some Americans', 'quit outsourcing', 'get correct answers', 'use local staff'. Workforce policy signal.",Negative,85,0.1%,Workforce Policy
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal or in-store systems.,App & Website Performance,Customer feedback about the AT&T mobile app or website usability or performance.,App / Website Not Working / Technical Issue,"Customer reports AT&T app or website is down, broken, or difficult to use. Include: 'app is not working', 'your website ****', 'website issue', 'app issue', 'your website is awful'. Track for digital channel health.",Negative,155,0.2%,Digital Engineering
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal or in-store systems.,App & Website Performance,Customer feedback about the AT&T mobile app or website usability or performance.,Digital Experience Positive,"Customer positively mentions app, website, or digital account management. Include: 'easy chat', 'website was easy', 'app is great', 'love the online portal'. Track digital adoption.",Positive,45,0.1%,Digital Product
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal or in-store systems.,Account Access & Management,Customer feedback about accessing or managing their account digitally or in-store.,Account Access Issue / Login Problem,"Customer cannot access or log into their account. Include: 'account set up', 'need to get email', 'need my WiFi account', 'voicemail locked', 'fix my voicemail', 'get my email'. Digital access failure signal.",Negative,110,0.1%,Digital / IT Support
Platform,Feedback about digital channels technology tools or systems used to access or manage AT&T services — including the app website account portal or in-store systems.,Account Access & Management,Customer feedback about accessing or managing their account digitally or in-store.,In-Store / Location Experience,"Customer comments on the in-store or physical location experience. Include: 'love the store', 'clean store', 'good visit', 'great location'. Track for retail operations.",Positive,55,0.1%,Retail Operations
Survey Artifact,Verbatims that are not genuine actionable customer feedback — they indicate a survey process issue missing data or non-substantive response.,No Feedback Provided,Customer declines to provide feedback or indicates they have nothing to share.,No Comment / Nothing to Share,"Customer explicitly declines to provide feedback. Include: 'no thank you', 'nothing else', 'not at this time', 'none at this time', 'nothing to share', 'no comment', 'nothing further', 'nothing right now', 'nope all good', 'nothing to add', 'nothing more', 'not applicable', 'nothing thank you', 'no nothing else'. Must contain no actionable sentiment. This will be the single highest-volume sub-topic.",Neutral,28500,32.8%,Survey Design
Survey Artifact,Verbatims that are not genuine actionable customer feedback — they indicate a survey process issue missing data or non-substantive response.,Score / Rating Error,Customer clarifies they selected the wrong rating or made an input error.,Score Correction (Selected Wrong Number),"Customer states they selected the wrong rating. Include: '1 should be 5', 'sorry I meant 5', 'change 1 to 5', 'meant to hit 5', 'oops I meant 5', 'typo I meant 5', 'correction: 5', 'my apologies 5', 'sorry wrong answer', 'I hit wrong number', 'should have been 5', 'pushed wrong number'. Use to identify systematic mis-scoring patterns.",Neutral,2800,3.2%,Survey Design / QA
