Initial Prompt,Revised Prompt,Problem Statement,Expected Impact,Change Description
"Stop -> Verbatim is an opt-out request to stop receiving surveys or messages (e.g., ""stop,"" ""unsubscribe"").","Stop -> Verbatim is an opt-out request to STOP RECEIVING SURVEY TEXT MESSAGES or to be added to a Do Not Text list (including but not limited to: ""stop,"" ""unsubscribe,"" ""stop texting me,"" ""remove me from this list,"" ""no more surveys,"" ""opt out""). This theme applies ONLY to survey/message opt-outs. Does NOT apply to: Service cancellation requests (""I want to cancel,"" ""cancelling my account,"" ""leaving AT&T"" —these are churn signals, not survey opt-outs. ""Stop"" used in complaint context (""stop overcharging me"") does NOT qualify.","Theme was being incorrectly applied to SERVICE CANCELLATION requests (""I want to cancel,"" ""Leaving AT&T""). These are fundamentally different intents: Stop = survey text opt-out; Cancel = service termination. 100% false positive rate found for service cancellation verbatims tagged as Stop.",Accurate identification of survey opt-outs only Service cancellation verbatims NOT tagged as Stop Better signal for measuring actual Do Not Text requests Service cancellation signals available for separate analysis (potential Churn Risk theme),"ADDED: Explicit clarification that Stop is ONLY for survey/text message opt-outs. ADDED: ""Do Not Text list"" language. ADDED: Comprehensive EXCLUSION list for service cancellation language. ADDED: Examples of what Stop does NOT apply to. CLARIFIED: Communication preference vs. customer relationship intent distinction."
Call Disconnects -> Customer reports the call with the representative was unexpectedly disconnected or dropped during the interaction.,"Call Disconnects -> Customer reports the call with the representative was UNEXPECTEDLY DISCONNECTED or dropped during the interaction (including but not limited to: ""call dropped,"" ""got disconnected,"" ""call cut off,"" ""line went dead,"" ""lost connection,"" or similar disconnection language). EXCLUDE: Customer-initiated hang-ups due to frustration (""I hung up,"" ""I gave up and hung up"" —these are NOT technical disconnects. Applies only to unexpected/unintentional call termination.","Customer-initiated hang-ups (out of frustration) were being classified as Call Disconnects. When the CUSTOMER hangs up, even if frustrated, this is not the same as an unexpected disconnect or rep hanging up.",More accurate measurement of technical/system disconnects Proper identification of reps who disconnect customers Customer frustration hang-ups excluded (different signal) Better insights for technical vs. behavioral issues,ADDED: Explicit requirement for UNEXPECTED disconnection. ADDED: Explicit exclusion of CUSTOMER-INITIATED hang-ups. ADDED: Examples of qualifying vs. non-qualifying patterns. CLARIFIED: Rep hung up vs. customer hung up distinction.
"Bill Dispute -> Customer challenges specific charges or amounts and claims an error, incorrect billing, or unauthorized charge, requesting investigation, correction, or reversal. Must assert wrongness, not just dissatisfaction.","Bill Dispute -> Customer challenges specific charges or amounts and claims an error, incorrect billing, unauthorized charge, or being overcharged, requesting investigation, correction, or reversal. Must assert wrongness or error, not just dissatisfaction. ""Overcharged"" (claiming to be charged incorrectly or more than should be) belongs here, NOT in Bill Too High. Examples include but are not limited to: ""I was overcharged,"" ""unauthorized charge on my bill,"" ""billed for services I didn't receive,"" ""charged twice,"" ""billing error,"" or similar dispute language.","Minor update to incorporate 'overcharged' which indicates a billing error/dispute, distinct from 'overpriced' (Bill Too High). Full analysis planned for Phase 2.","Clarify that 'overcharged' = Bill Dispute (error claim), while 'overpriced/too expensive' = Bill Too High (affordability).",Added: 'overcharged' explicitly as Bill Dispute indicator. Added: Distinction from Bill Too High ('overpriced'). Added 'including but not limited to' for flexibility. Full revision planned for Phase 2.
"Seeking Credits -> Customer requests or expects compensation (e.g., credit, refund, adjustment) due to an error, overcharge, or service issue. This applies to the request itself, regardless of whether the credit was granted.","Seeking Credits -> Customer requests or expects compensation (e.g., credit, refund, adjustment) due to an error, overcharge, or service issue. This applies to the request itself, regardless of whether the credit was granted.",No changes at this time. Full analysis and revision planned for Phase 2.,N/A - Phase 2,NO CHANGES - Phase 2 analysis pending. No sub-theme verbatims reviewed for this theme.
"Need to Lower Bill -> Customer states a need to reduce ongoing monthly cost for affordability or value reasons (e.g., wanting a cheaper plan or lower charges). This is forward?looking and not primarily about correcting past errors.","Need to Lower Bill -> Customer states a need to reduce ongoing monthly cost for affordability or value reasons (e.g., wanting a cheaper plan or lower charges). This is forward-looking and not primarily about correcting past errors.",No changes at this time. Full analysis and revision planned for Phase 2.,N/A - Phase 2,NO CHANGES - Phase 2 analysis pending. No sub-theme verbatims reviewed for this theme.
"Transfers / Multiple Reps -> Customer reports interacting with more than one representative for the same issue, including being transferred or passed between agents.","Transfers / Multiple Reps -> Customer reports interacting with more than one representative for the same issue, including being transferred, passed between agents, bounced around, or speaking to multiple people. This includes single transfers (including but not limited to: transferred to the right department, connected to specialist, handed off to manager, or similar routing) as well as multiple transfers. Mentions of speaking with multiple reps (including but not limited to: ""talked to 5 people,"" ""each rep told me something different,"" ""first rep couldn't help, second one did,"" or similar multiple rep references) qualify even without explicit ""transfer"" language. Does NOT apply to multiple separate calls on different days (Multiple Calls to Resolve - different theme).",Needed clarity on whether single/routine transfers qualify (they do). Also needed to distinguish from 'Multiple Calls to Resolve' which involves separate calls on different days.,Clearer inclusion of single transfers as valid. Better distinction from multiple-call scenarios. Allows 'multiple reps' mentions without requiring explicit 'transfer' language.,Added: Single transfers ARE valid (routine or escalation). Added: 'Multiple reps' mentions qualify without explicit 'transfer.' Added: Exclusion for 'Multiple Calls to Resolve' (separate calls on different days). Added 'including but not limited to' for flexibility.
Long Wait for Rep -> Customer complains about a long delay before reaching any representative (queue time before first connection). Does not apply to hold time after speaking with an agent.,"Long Wait for Rep -> Customer complains about a long delay BEFORE reaching any representative (queue time before first connection). This includes wait time to get through, time in queue, or delay before anyone answers (including but not limited to: ""waited 45 minutes to speak to someone,"" ""takes forever to get through,"" ""long wait before anyone answered,"" ""couldn't get through for an hour,"" or similar queue-time language). Spanish equivalents apply (esperé mucho, demasiada espera, tardaron en contestar). Does NOT apply to: (1) hold time AFTER already speaking with a rep (use Long Hold Time), (2) wait time for a scheduled callback (not queue time), or (3) general service delays unrelated to reaching a rep.",Hold time AFTER connection was incorrectly triggering this theme. Callback wait times were also incorrectly included. Need clear distinction between queue time (before connection) and hold time (after connection).,Eliminate false positives from post-connection holds. Exclude callback wait scenarios. Clear delineation from Long Hold Time theme.,Added: Explicit focus on BEFORE reaching rep. Added: Exclusion for hold time AFTER speaking with rep. Added: Exclusion for callback wait times. Added: Spanish equivalents. Added 'including but not limited to' for flexibility.
"Long Hold Time -> Customer complains about being placed on a single long hold after already speaking with a representative. This is duration?based, not frequency?based.","Long Hold Time -> Customer complains about being placed on a long hold AFTER already speaking with a representative. This is duration-based and applies to extended holds during the call (including but not limited to: ""put me on hold for 30 minutes,"" ""left on hold forever,"" ""forgot about me on hold,"" ""was on hold while she checked,"" or similar post-connection hold language). Spanish equivalents apply (en espera, me dejó en espera). Does NOT apply to: (1) queue/wait time BEFORE reaching any rep (use Long Wait for Rep), (2) hold music before anyone answers (that's queue time), (3) automated system wait (that's queue time), or (4) multiple short holds (use Multiple Holds for frequency).",Queue/wait time BEFORE connection was incorrectly triggering this theme. Need clear distinction that this is ONLY for holds AFTER already speaking with someone.,"Eliminate false positives from pre-connection queue time. Clear delineation from Long Wait for Rep theme. Focus on duration, not frequency.",Added: Explicit focus on AFTER speaking with rep. Added: Exclusion for queue time before connection. Added: Exclusion for hold music before answer. Added: Exclusion for IVR/automated wait. Added: Spanish equivalents. Added 'including but not limited to' for flexibility.
"Multiple Holds -> Customer reports being put on hold multiple separate times during the same call, regardless of how long each hold lasted. This is frequency?based, not duration?based.","Multiple Holds -> Customer reports being put on hold multiple separate times during the same call, regardless of how long each hold lasted. This is frequency-based, NOT duration-based (including but not limited to: ""kept putting me on hold,"" ""constantly on hold,"" ""put me on hold 5 times,"" ""on and off hold the whole time,"" ""again and again,"" or similar multiple-hold language). Does NOT apply to: (1) a single long hold (use Long Hold Time for duration), (2) extended hold time without mention of multiple occurrences, or (3) general hold complaints without frequency indicators.",Single long holds were incorrectly triggering this theme. Need clear distinction between frequency (multiple holds) and duration (single long hold).,Eliminate false positives from single long hold complaints. Clear delineation from Long Hold Time theme (duration vs. frequency).,Added: Explicit focus on FREQUENCY (multiple occurrences). Added: Exclusion for single long hold (duration focus). Added: Examples of frequency indicators. Added 'including but not limited to' for flexibility.
Wait / Hold Time -> Customer mentions excessive waiting or holding without clearly distinguishing whether it occurred before reaching a rep or after connection. Use only when timing cannot be classified.,Wait / Hold Time -> Customer mentions excessive waiting or holding without clearly distinguishing whether it occurred before reaching a rep or after connection. Use only when timing cannot be classified.,This theme replicates current regex classification process but will NOT be included in final production taxonomy.,N/A - NOT going to production. Use Long Wait for Rep or Long Hold Time instead.,NO CHANGES - Theme will be EXCLUDED from production. Exists only for legacy regex compatibility.
"Callbacks Never Received -> Customer explicitly states a promised callback (agent, supervisor, or automated system) did not occur, including failed automated callbacks.","Callbacks Never Received -> Customer explicitly states a promised or expected callback did not occur. This applies to three scenarios: (1) Rep promised to call back, (2) Supervisor/manager callback was promised, (3) Expected callback after a disconnected call (reps ask ""is this the best number to call you back if we get disconnected?""). Valid examples include but are not limited to: ""never called back,"" ""promised callback that never came,"" ""still waiting for the call,"" ""said she'd call within 24 hours - nothing,"" or similar callback-specific language. Spanish equivalents apply (no me llamaron, prometieron llamar y no lo hicieron). Does NOT apply to: general broken promises (credits not received, issues not fixed, discounts not applied), technician no-shows (use Missed Field Tech Appointment), or other unrelated promise failures.","General broken promises (credits, fixes, discounts) were incorrectly triggering this theme. Theme should be LIMITED to callback-specific promises or expectations.","Eliminate false positives from general broken promise complaints. Focus only on callback-specific scenarios (rep callback, supervisor callback, disconnect callback).","Added: Three specific callback scenarios (rep, supervisor, disconnect). Added: Explicit exclusion for general broken promises. Added: Exclusion for tech no-shows. Added: Spanish equivalents. Added 'including but not limited to' for flexibility."
"Missed Field Tech Appointment -> Customer reports a scheduled technician appointment (install, repair, service) was a no?show or missed, often with no notice or repeated reschedules. Requires that an appointment was expected.","Missed Field Tech Appointment -> Customer reports a scheduled technician appointment (install, repair, service) was a no-show or missed, often with no notice or repeated reschedules. Requires that an appointment was expected.",No changes at this time. Full analysis and revision planned for Phase 2.,N/A - Phase 2,NO CHANGES - Phase 2 analysis pending. No sub-theme verbatims reviewed for this theme.
"Wireless Coverage -> Customer reports poor or no mobile/cellular network coverage or signal (e.g., no bars, SOS only, dead zones, recurring outages) impacting cellular service. Excludes home Wi?Fi unless explicitly stated as mobile.","Wireless Coverage -> Customer reports poor or no mobile/cellular network coverage or signal impacting their wireless phone service (including but not limited to: no bars, SOS only, dead zones, poor reception, weak signal, spotty coverage, no service in my area, or similar cellular coverage language). Spanish equivalents apply (sin señal, mala cobertura). Does NOT apply to: (1) home WiFi issues (router, modem, WiFi range, WiFi dropping), (2) home internet services (fiber, DSL, broadband, streaming issues), (3) equipment problems (modem/router issues), or (4) general service outages unrelated to coverage. Exception: Mobile hotspot issues DO qualify as wireless coverage if explicitly stated.","Home WiFi, fiber, DSL, and broadband issues were incorrectly triggering this theme. Theme should be LIMITED to cellular/mobile network coverage.",Eliminate false positives from home internet/WiFi complaints. Clear focus on cellular/mobile coverage only. Exception for mobile hotspot maintained.,"Added: Explicit focus on cellular/mobile coverage. Added: Explicit exclusion for WiFi, fiber, DSL, broadband, router/modem issues. Added: Exception for mobile hotspot. Added: Spanish equivalents. Added 'including but not limited to' for flexibility."
"Wrong Customer -> Verbatim states the survey was received in error because the respondent did not interact with the company. Applies to identity mismatch, not mistaken input.","Wrong Customer -> Verbatim states the survey was received in error because the respondent did not interact with the company. This applies to identity mismatch, not input errors (including but not limited to: ""I didn't call AT&T,"" ""never spoke with anyone,"" ""this survey was sent in error,"" ""I'm not an AT&T customer,"" ""you have the wrong person,"" ""this phone number doesn't belong to me,"" or similar identity-mismatch language). Spanish equivalents apply (no soy cliente, no llamó, no habló con nadie). Does NOT apply to: Error Correction (wrong survey rating, hit wrong number, meant to put 5 not 1) - that is input correction, NOT identity mismatch.","Error Correction patterns (wrong rating, accidental input) were incorrectly triggering this theme. Theme should be LIMITED to identity mismatch (respondent didn't interact with company).",Eliminate false positives from Error Correction patterns. Clear distinction between identity mismatch (Wrong Customer) and input error (Error Correction).,Added: Explicit focus on identity mismatch. Added: Explicit exclusion for Error Correction patterns. Added: Spanish equivalents. Added 'including but not limited to' for flexibility.
