"Category","Category_Definition","Topic","Topic_Definition","Sub_Topic","Sub_Topic_Definition","Polarity","Survey_Channel","Est_Count","Est_Pct","Notes","Taxonomy"
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","IHE Sales Conduct","How the In-Home Expert handled the sales aspect of their visit — whether upselling was welcome helpful or felt pressured and unwanted.","IHE Was Too Pushy / Unwanted Upsell","IHE pressured the customer to buy wireless or additional services they did not want (including but not limited to: ""kept pushing wireless"", ""too pushy"", ""just wanted internet not wireless"", ""wouldn't take no for an answer"", ""tried to sell me wireless"", ""kept trying to upsell"", or similar language). Critical CX risk — customer in their own home.","Negative","IHE","26","0.027%","Low volume but present. Retain for monitoring; consider roll-up if this remains low across multiple months.","IHE Was Too Pushy / Unwanted Upsell->IHE pressured the customer to buy wireless or additional services they did not want. Include: 'kept pushing wireless' 'too pushy' 'just wanted internet not wireless' 'wouldn't take no for an answer' 'felt like a sales pitch' 'pressured me into adding lines' 'hard sell in my home' 'aggressive about adding services' 'didn't want wireless kept selling it'. Critical CX risk — customer in their own home."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","IHE Setup & Onboarding Assistance","How well the In-Home Expert helped the customer set up devices configure apps connect equipment and feel confident using their new services.","IHE Did Not Complete Setup / Left Issues Unresolved","In-Home Expert left before completing setup or devices were not working after the visit (including but not limited to: ""didn't finish the installation"", ""didn't set up all the rooms"", ""TV still not connected"", ""WiFi not working after they left"", ""some devices not connected"", ""left before I was set up"", or similar language). Service delivery failure.","Negative","IHE","1255","1.294%","High-impact sub-topic with strong share of verbatims. Keep as a standalone sub-topic.","IHE Did Not Complete Setup / Left Issues Unresolved->In-Home Expert left before completing setup or devices were not working after the visit. Include: 'didn't finish setting up' 'left and things don't work' 'TV still not connected' 'WiFi not working after they left' 'didn't set up all my devices' 'left before everything was done' 'some devices not connected'. Service delivery failure."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","IHE Setup & Onboarding Assistance","How well the In-Home Expert helped the customer set up devices configure apps connect equipment and feel confident using their new services.","IHE Did Not Explain / Customer Left Confused","IHE left without explaining how things work or customer still doesn't understand their services (including but not limited to: ""didn't explain anything"", ""never showed me how to use it"", ""had no idea how to use it after"", ""wish they explained more"", ""still confused"", or similar language). Onboarding gap — recontact risk.","Negative","IHE","252","0.26%","Material signal with usable volume. Keep as standalone and tune examples as needed.","IHE Did Not Explain / Customer Left Confused->IHE left without explaining how things work or customer still doesn't understand their services. Include: 'didn't explain anything' 'left and I don't know how to use it' 'never showed me' 'had no idea how to use it after' 'wish they explained more' 'didn't walk me through it' 'still confused'. Onboarding gap — recontact risk."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","IHE Setup & Onboarding Assistance","How well the In-Home Expert helped the customer set up devices configure apps connect equipment and feel confident using their new services.","IHE Explained Services / Left Customer Confident","IHE took time to explain how services work and customer felt confident after the visit (including but not limited to: ""explained everything"", ""showed me how everything works"", ""I feel confident now"", ""walked me through it all"", ""took time to teach me"", ""made sure I understood"", ""great tutorial"", ""answered all my questions about the service"", or similar language). Onboarding quality signal.","Positive","IHE","210","0.216%","Material signal with usable volume. Keep as standalone and tune examples as needed.","IHE Explained Services / Left Customer Confident->IHE took time to explain how services work and customer felt confident after the visit. Include: 'explained everything' 'showed me how everything works' 'I feel confident now' 'walked me through it all' 'took time to teach me' 'made sure I understood' 'great tutorial' 'answered all my questions about the service'. Onboarding quality signal."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","IHE Setup & Onboarding Assistance","How well the In-Home Expert helped the customer set up devices configure apps connect equipment and feel confident using their new services.","IHE Helped Set Up Devices / Apps / Connectivity Successfully","In-Home Expert successfully helped customer set up phones TVs apps WiFi or other devices (including but not limited to: ""set up my phone"", ""connected all my devices"", ""got everything working"", ""helped with my TV setup"", ""showed me how to use the app"", ""connected my WiFi"", ""set up my streaming"", ""configured everything"", ""got me all set up"", or similar language). Primary IHE value-add signal.","Positive","IHE","603","0.622%","Material signal with usable volume. Keep as standalone and tune examples as needed.","IHE Helped Set Up Devices / Apps / Connectivity Successfully->In-Home Expert successfully helped customer set up phones TVs apps WiFi or other devices. Include: 'set up my phone' 'connected all my devices' 'got everything working' 'helped with my TV setup' 'showed me how to use the app' 'connected my WiFi' 'set up my streaming' 'configured everything' 'got me all set up'. Primary IHE value-add signal."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","National Retail Channel Experience","Experience specific to purchasing or servicing AT&T products at national retailers like Best Buy Walmart Sam's Club or Costco.","Activation / Setup Issues at National Retailer","Customer experienced problems with device activation or account setup done at a national retailer (including but not limited to: ""phone wasn't activated correctly"", ""setup was wrong at the store"", ""account wasn't set up right"", ""issues after buying at national retailer"", or similar language). Track for partner quality control.","Negative","National Retail","230","0.237%","Material signal with usable volume. Keep as standalone and tune examples as needed.","Activation / Setup Issues at National Retailer->Customer experienced problems with device activation or account setup done at a national retailer. Include: 'phone wasn't activated right at Best Buy' 'setup from Walmart was wrong' 'had issues after buying at Costco' 'national retailer messed up my plan' 'problems from day one after buying at Sam's'. Track for partner quality control."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","National Retail Channel Experience","Experience specific to purchasing or servicing AT&T products at national retailers like Best Buy Walmart Sam's Club or Costco.","AT&T Rep at National Retailer Was Knowledgeable / Helpful","Customer had positive experience with AT&T representative stationed at a national retailer (including but not limited to: ""the AT&T guy at Best Buy was great"", ""Walmart AT&T rep helped me"", ""the rep at Costco knew everything"", ""Sam's Club AT&T person was awesome"", or similar language). Track for national retail partner performance.","Positive","National Retail","1941","2.001%","High-impact sub-topic with strong share of verbatims. Keep as a standalone sub-topic.","AT&T Rep at National Retailer Was Knowledgeable / Helpful->Customer had positive experience with AT&T representative stationed at a national retailer. Include: 'the AT&T guy at Best Buy was great' 'Walmart AT&T rep helped me' 'the rep at Costco knew everything' 'Sam's Club AT&T person was awesome'. Track for national retail partner performance."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","National Retail Channel Experience","Experience specific to purchasing or servicing AT&T products at national retailers like Best Buy Walmart Sam's Club or Costco.","AT&T Section Unstaffed / No One Available at National Retailer","Customer went to national retailer for AT&T but no AT&T rep was available or section was empty (including but not limited to: ""no AT&T person there"", ""AT&T booth was empty"", ""no one at the AT&T counter"", ""had to come back because no rep"", ""AT&T section unmanned"", ""no representative available"", or similar language). Staffing/scheduling gap at partner locations.","Negative","National Retail","182","0.188%","Material signal with usable volume. Keep as standalone and tune examples as needed.","AT&T Section Unstaffed / No One Available at National Retailer->Customer went to national retailer for AT&T but no AT&T rep was available or section was empty. Include: 'no AT&T person there' 'AT&T booth was empty' 'no one at the AT&T counter' 'had to come back because no rep' 'AT&T section unmanned' 'no representative available'. Staffing/scheduling gap at partner locations."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Overall Rep Satisfaction","Holistic satisfaction or dissatisfaction with the rep not attributed to a specific behavior — use only when no specific behavior sub-topic applies.","Rep Overall Negative (General Dissatisfaction)","General negative about rep without specific behavior identifiable (including but not limited to: ""bad experience"", ""total failure"", ""horrible"", ""waste of time"", ""terrible rep"", ""worst rep"", ""awful experience"", ""0 stars"", ""absolutely terrible"", or similar language). Prefer specific sub-topics when behavior is identifiable — this is a catch-all.","Negative","All","102","0.105%","Material signal with usable volume. Keep as standalone and tune examples as needed.","Rep Overall Negative (General Dissatisfaction)->General negative about rep without specific behavior identifiable. Include: 'bad experience' 'total failure' 'horrible' 'waste of time' 'terrible rep' 'worst rep' 'awful experience' '0 stars' 'absolutely terrible'. Prefer specific sub-topics when behavior is identifiable — this is a catch-all."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Overall Rep Satisfaction","Holistic satisfaction or dissatisfaction with the rep not attributed to a specific behavior — use only when no specific behavior sub-topic applies.","Rep Overall Positive (General Praise)","General praise for the rep without a specific behavior anchor (including but not limited to: ""she was great"", ""he was amazing"", ""awesome rep"", ""wonderful person"", ""excellent employee"", ""great service"", ""she's the best"", or similar language). ONLY use when no specific behavior sub-topic applies — prefer specific sub-topics.","Positive","All","17","0.018%","Low volume but present. Retain for monitoring; consider roll-up if this remains low across multiple months.","Rep Overall Positive (General Praise)->General praise for the rep without a specific behavior anchor. Include: 'she was great' 'he was amazing' 'awesome rep' 'wonderful person' 'excellent employee' 'great service' 'she's awesome' 'he was fantastic' 'A+' '10 out of 10' 'couldn't ask for better'. ONLY use when no specific behavior sub-topic applies — prefer specific sub-topics."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Rep Accountability & Follow-Through","Whether the rep did what they said they would do — kept promises followed up and took ownership of the resolution path.","Rep Did Not Follow Through / Broken Promise","Rep promised something and did not deliver — no callback, no credit, no resolution (including but not limited to: ""never called back"", ""lied about callback"", ""said they'd call but didn't"", ""broken promise"", ""never did what they said"", ""promised a credit never got it"", ""no follow up"", or similar language). HIGH churn risk — trust violation.","Negative","All","1797","1.853%","High-impact sub-topic with strong share of verbatims. Keep as a standalone sub-topic.","Rep Did Not Follow Through / Broken Promise->Rep promised something and did not deliver — no callback no credit no resolution. Include: 'never called back' 'lied about callback' 'said they'd fix it and didn't' 'broken promise' 'never did what they said' 'promised a credit never got it' 'said they would call back' 'no follow up'. HIGH churn risk — trust violation."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Rep Accountability & Follow-Through","Whether the rep did what they said they would do — kept promises followed up and took ownership of the resolution path.","Rep Followed Through on Promises","Customer confirms the rep did what they said they would — called back applied credit completed action etc (including but not limited to: ""did exactly what they said"", ""followed through"", ""kept their word"", ""called me back like they said"", ""credit appeared"", ""followed up"", ""delivered on promise"", or similar language). Strong trust-building signal.","Positive","All","179","0.185%","Material signal with usable volume. Keep as standalone and tune examples as needed.","Rep Followed Through on Promises->Customer confirms the rep did what they said they would — called back applied credit completed action etc. Include: 'did exactly what they said' 'followed through' 'kept their word' 'called me back like they said' 'credit appeared' 'followed up' 'delivered on promise'. Strong trust-building signal."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Rep Accountability & Follow-Through","Whether the rep did what they said they would do — kept promises followed up and took ownership of the resolution path.","Rep Passed the Buck / No Ownership","Rep refused to own the problem sent customer elsewhere or said 'not my department' (including but not limited to: ""not my department"", ""passed me off"", ""no one takes ownership"", ""just kept transferring"", ""no one wanted to help"", ""everyone points fingers"", ""shuffled around"", ""buck passing"", or similar language). Overlaps with too many transfers but focuses on ownership refusal.","Negative","All","12","0.012%","Very low volume signal. Consider aggregating with nearest sibling unless a distinct operational owner requires separate tracking.","Rep Passed the Buck / No Ownership->Rep refused to own the problem sent customer elsewhere or said 'not my department'. Include: 'not my department' 'passed me off' 'no one takes ownership' 'just kept transferring' 'no one wanted to help' 'everyone points fingers' 'shuffled around' 'buck passing'. Overlaps with too many transfers but focuses on ownership refusal."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Rep Accountability & Follow-Through","Whether the rep did what they said they would do — kept promises followed up and took ownership of the resolution path.","Rep Took Ownership of the Issue","Rep took personal ownership of the problem and drove it to resolution rather than deflecting (including but not limited to: ""took ownership"", ""made it their problem"", ""personally handled it"", ""didn't pass me off"", ""took charge"", or similar language). Distinct from empathy — this is action-oriented ownership.","Positive","All","221","0.228%","Material signal with usable volume. Keep as standalone and tune examples as needed.","Rep Took Ownership of the Issue->Rep took personal ownership of the problem and drove it to resolution rather than deflecting. Include: 'took ownership' 'made it their problem' 'personally handled it' 'didn't pass me off' 'stayed with me until resolved' 'owned it from start to finish' 'took charge'. Distinct from empathy — this is action-oriented ownership."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Rep Communication","How effectively the rep communicated including clarity comprehension completeness and listening behavior.","Language Barrier or Comprehension Issue","Customer had difficulty understanding or naturally conversing with rep due to language, accent, speech clarity, comprehension mismatch, or reliance on scripted and formulaic responses (including but not limited to: ""hard to understand,"" ""language barrier,"" ""could not understand rep,"" ""scripted,"" ""felt like they were reading from a script,"" ""canned responses,"" or similar communication quality language). Does NOT apply to: (1) rep interrupting or talking over customer (see Poor Listening or Interruptive Behavior).","Negative","Care","90","0.093%","Material signal with usable volume. Keep as standalone and tune examples as needed.","Language Barrier or Comprehension Issue->Customer had difficulty understanding rep due to language accent speech clarity or comprehension mismatch. Include: 'hard to understand' 'language barrier' 'could not understand rep'."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Rep Communication","How effectively the rep communicated including clarity comprehension completeness and listening behavior.","Poor Listening or Interruptive Behavior","Rep talked over the customer, interrupted frequently, or did not actively listen (including but not limited to: ""kept interrupting,"" ""did not listen,"" ""wouldn't listen,"" ""talked over me,"" ""would not let me finish,"" ""ignored what I said,"" or similar listening or engagement-failure language). Does NOT apply to: (1) communication clarity or explanation failures (see Unclear, Incomplete, or Confusing Communication); (2) deliberate dismissive attitude or demeanor (see Rep Not Courteous).","Negative","All","72","0.074%","Material signal with usable volume. Keep as standalone and tune examples as needed.","Poor Listening or Interruptive Behavior->Rep talked over customer interrupted frequently or did not actively listen. Include: 'kept interrupting' 'did not listen' 'talked over me' 'would not let me finish'."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Rep Communication","How effectively the rep communicated including clarity comprehension completeness and listening behavior.","Rep Communicated Clearly & Effectively","Customer praises communication clarity and effectiveness (including but not limited to: ""explained clearly"", ""easy to understand"", ""communicated well"", or similar language).","Positive","All","37","0.038%","Low volume but present. Retain for monitoring; consider roll-up if this remains low across multiple months.","Rep Communicated Clearly & Effectively->Customer praises communication clarity and effectiveness. Include: 'explained clearly' 'easy to understand' 'communicated well'."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Rep Communication","How effectively the rep communicated including clarity comprehension completeness and listening behavior.","Request for Different Communication Support","Customer asks for a different communication support profile such as clearer language support or alternative rep matching (including but not limited to: ""need someone I can understand better"", ""request different communication support"", or similar language).","Negative","Care","527","0.543%","Material signal with usable volume. Keep as standalone and tune examples as needed.","Request for Different Communication Support->Customer asks for a different communication support profile such as clearer language support or alternative rep matching. Include: 'need someone I can understand better' 'request different communication support'."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Rep Communication","How effectively the rep communicated including clarity comprehension completeness and listening behavior.","Unclear, Incomplete, or Confusing Communication","Rep explanation was unclear incomplete or confusing (including but not limited to: ""did not explain"", ""left me confused"", ""unclear instructions"", or similar language).","Negative","All","11","0.011%","Very low volume signal. Consider aggregating with nearest sibling unless a distinct operational owner requires separate tracking.","Unclear, Incomplete, or Confusing Communication->Rep explanation was unclear incomplete or confusing. Include: 'did not explain' 'left me confused' 'unclear instructions'."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Rep Courtesy","The rep's interpersonal conduct and demeanor during the interaction — encompassing tone, warmth, courtesy, respect, empathy, emotional ownership, patience, and professional standards.","Rep Hung Up / Ended Call Prematurely","Rep deliberately ended the interaction before the customer's issue was resolved (including but not limited to: ""hung up on me,"" ""she hung up,"" ""they disconnected me,"" ""he ended the call,"" ""I got hung up on,"" ""just hung up,"" ""terminated the call,"" or similar phrasing). Does NOT apply to: (1) accidental technical disconnections (see Call Was Dropped / Disconnected). [HIGH SEVERITY — distinct churn risk indicator.] CO-CLASSIFY: Rep Not Courteous.","Negative","Care","349","0.36%","Material signal with usable volume. Keep as standalone and tune examples as needed.","Rep Hung Up / Ended Call Prematurely->Customer states rep hung up on them or disconnected the interaction without resolution. Include: 'hung up on me' 'she hung up' 'they disconnected me' 'he ended the call' 'I got hung up on' 'just hung up' 'terminated the call'. Distinct churn risk indicator. Exclude accidental technical drops (see Process — Call Dropped)."
"People","Feedback about staff performance behavior and interpersonal interactions with reps agents associates or in-home experts across all service channels.","Rep Courtesy","The rep's interpersonal conduct and demeanor during the interaction — encompassing tone, warmth, courtesy, respect, empathy, emotional ownership, patience, and professional standards.","Rep Not Courteous","Customer uses SPECIFIC NEGATIVE DEMEANOR WORDS describing the representative's manner, tone, or interpersonal behavior (including but not limited to: rude, nasty, disrespectful, condescending, arrogant, dismissive, hostile, unprofessional, cold, impersonal, robotic, or similar negative demeanor descriptors). Empathy-absence phrasing also qualifies (e.g., ""no empathy,"" ""treated me like a number,"" ""felt like I was bothering them""). Unprofessional conduct phrasing also qualifies (e.g., ""behavior was unacceptable,"" ""acted out of line""). GENERIC NEGATIVE WORDS ALONE (e.g., ""terrible,"" ""awful,"" ""horrible,"" ""bad"") do NOT qualify unless accompanied by a demeanor descriptor. EXCLUDE: Background noise/technical issues (not rep demeanor). Perceived Trust (lied, misled) ONLY qualifies if explicitly attributed to the CURRENT rep, not previous reps or the company generally. Spanish equivalents (including but not limited to: grosero, maleducado, irrespetuoso, or similar) also qualify.","Negative","All","0","0.000%","New sub-topic. Definition sourced from revised classification prompt.","Rep Not Courteous->Customer uses SPECIFIC NEGATIVE DEMEANOR WORDS describing the representative's manner, tone, or interpersonal behavior (including but not limited to: rude, dismissive, disrespectful, condescending, impatient, hostile, pushy, unprofessional, or similar negative demeanor descriptors). GENERIC NEGATIVE WORDS ALONE (e.g., ""terrible,"" ""awful,"" ""horrible,"" ""bad"") do NOT qualify unless accompanied by a demeanor descriptor. EXCLUDE: Background noise/technical issues (not rep demeanor). Perceived Trust (lied, misled) ONLY qualifies if explicitly attributed to the CURRENT rep, not previous reps or the company generally. Spanish equivalents (including but not limited to: grosero, maleducado, irrespetuoso, or similar Spanish negative demeanor words) also qualify."
