Current_Category,Current_Topic,Current_Sub_Topic,Survey_Channel,Est_Count,Est_Pct,V5_Reporting_Category,V5_Reporting_Topic,V5_Reporting_Sub_Topic,Scorecard_Tier,Probation_Days,Strategic_Protection,Change_Type,Rationale
People,Rep Empathy & Emotional Ownership,Rep Apologized / Took Emotional Ownership,All,44,0.05%,People,Rep Empathy & Emotional Ownership,Rep Apologized / Took Emotional Ownership,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Empathy & Emotional Ownership,Rep Did Not Apologize / Deflected Blame,All,47,0.05%,People,Rep Empathy & Emotional Ownership,Rep Did Not Apologize / Deflected Blame,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Empathy & Emotional Ownership,Rep Lacked Empathy / Did Not Acknowledge Frustration,All,116,0.12%,People,Rep Empathy & Emotional Ownership,Rep Lacked Empathy / Did Not Acknowledge Frustration,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Empathy & Emotional Ownership,Rep Showed Empathy / Understanding,All,465,0.48%,People,Rep Empathy & Emotional Ownership,Rep Showed Empathy / Understanding,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Helpfulness,Rep Was Helpful,All,425,0.44%,People,Rep Helpfulness,Rep Was Helpful,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Helpfulness,Rep Was Not Helpful,All,1521,1.57%,People,Rep Helpfulness,Rep Was Not Helpful,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Helpfulness,Rep Went Above and Beyond,All,1142,1.18%,People,Rep Helpfulness,Rep Went Above and Beyond,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Knowledge & Accuracy,Rep Lacked Knowledge / Gave Wrong Information,All,557,0.57%,People,Rep Knowledge & Accuracy,Rep Lacked Knowledge / Gave Wrong Information,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Knowledge & Accuracy,Rep Was Knowledgeable / Accurate,All,284,0.29%,People,Rep Knowledge & Accuracy,Rep Was Knowledgeable / Accurate,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Patience & Thoroughness,Rep Was Impatient / Rushed,All,57,0.06%,People,Rep Patience & Thoroughness,Rep Was Impatient / Rushed,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Patience & Thoroughness,Rep Was Patient,All,2033,2.10%,People,Rep Patience & Thoroughness,Rep Was Patient,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Patience & Thoroughness,Rep Was Thorough / Detailed,All,528,0.54%,People,Rep Patience & Thoroughness,Rep Was Thorough / Detailed,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Professionalism,Rep Was Professional,All,29,0.03%,People,Rep Professionalism,Rep Was Professional,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Professionalism,Rep Was Unprofessional / Incompetent,All,19,0.02%,People,Rep Professionalism,Rep Was Unprofessional / Incompetent,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Recognition & Retention,Give Rep a Raise / Promotion,All,1049,1.08%,People,Rep Recognition & Retention,Give Rep a Raise / Promotion,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Rep Recognition & Retention,Rep Named Specifically (Negative Mention),All,84,0.09%,People,Rep Recognition & Retention,Rep Named Specifically,Analyst monitor tier,90,No,Probation rollup candidate,Low-volume node; monitor before any default rollup decision.
People,Rep Recognition & Retention,Rep Named Specifically (Positive Mention),All,46,0.05%,People,Rep Recognition & Retention,Rep Named Specifically,Analyst monitor tier,90,No,Probation rollup candidate,Low-volume node; monitor before any default rollup decision.
People,Sales Transparency & Offer Accuracy,BOGO / Promotion Confusion,All,19,0.02%,People,Sales Transparency & Offer Accuracy,BOGO / Promotion Confusion,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Sales Transparency & Offer Accuracy,Offer / Promotion Was Clearly Explained,All,686,0.71%,People,Sales Transparency & Offer Accuracy,Offer / Promotion Was Clearly Explained,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
People,Sales Transparency & Offer Accuracy,Offer Was Misrepresented / Not What Was Promised,All,132,0.14%,People,Sales Transparency & Offer Accuracy,Offer Was Misrepresented / Not What Was Promised,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,Account Access & Login,Account Access Issue / Can't Log In,All,632,0.65%,Platform,Account Access & Login,Account Access Issue / Can't Log In,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,Account Access & Login,Password/Passcode Reset,All,100,0.10%,Platform,Account Access & Login,Password/Passcode Reset,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,App Experience,App Is Confusing / Hard to Navigate,All,415,0.43%,Platform,App Experience,App Is Confusing / Hard to Navigate,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,App Experience,App Is Easy to Use / Works Well,All,48,0.05%,Platform,App Experience,App Is Easy to Use / Works Well,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,App Experience,App Not Working / Crashes / Errors,All,63,0.07%,Platform,App Experience,App Not Working / Crashes / Errors,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,Online Chat Experience,Chat Was Helpful / Easy to Use,Care,152,0.16%,Platform,Online Chat Experience,Chat Was Helpful / Easy to Use,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,Online Chat Experience,Chat Was Unhelpful / Couldn't Resolve via Chat,Care,448,0.46%,Platform,Online Chat Experience,Chat Was Unhelpful / Couldn't Resolve via Chat,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,Online Chat Experience,Long Wait for Chat / Slow Responses,Care,51,0.05%,Platform,Online Chat Experience,Long Wait for Chat / Slow Responses,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,Self-Service & Digital Tools,Could Not Self-Serve / Had to Call Anyway,All,353,0.36%,Platform,Self-Service & Digital Tools,Could Not Self-Serve / Had to Call Anyway,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,Self-Service & Digital Tools,Self-Service Was Easy / Managed It Myself,All,58,0.06%,Platform,Self-Service & Digital Tools,Self-Service Was Easy / Managed It Myself,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,Technology & Systems Reliability,System Slow/Outage Caused Delays,All,25,0.03%,Platform,Technology & Systems Reliability,System Slow/Outage Caused Delays,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,Technology & Systems Reliability,Transaction Was Smooth / System Worked Well,All,419,0.43%,Platform,Technology & Systems Reliability,Transaction Was Smooth / System Worked Well,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,Website Experience,Website Is Confusing / Can't Find Information,All,226,0.23%,Platform,Website Experience,Website Is Confusing / Can't Find Information,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,Website Experience,Website Is Easy to Use / Works Well,All,51,0.05%,Platform,Website Experience,Website Is Easy to Use / Works Well,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Platform,Website Experience,Website Not Working / Technical Issues,All,85,0.09%,Platform,Website Experience,Website Not Working / Technical Issues,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Brand Loyalty & Sentiment,AT&T Brand Loyalty / Positive Brand Sentiment,All,149,0.15%,Policy,Brand Loyalty & Sentiment,AT&T Brand Loyalty / Positive Brand Sentiment,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Brand Loyalty & Sentiment,AT&T Brand Negative / Dissatisfied with Company,All,450,0.46%,Policy,Brand Loyalty & Sentiment,AT&T Brand Negative / Dissatisfied with Company,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Brand Loyalty & Sentiment,Long-Tenure Customer Feels Unvalued,All,67,0.07%,Policy,Brand Loyalty & Sentiment,Long-Tenure Customer Feels Unvalued,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Cancellation & Switching Intent,Canceling / Leaving AT&T (General),All,81,0.08%,Policy,Cancellation & Switching Intent,Canceling / Leaving AT&T (General),Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Cancellation & Switching Intent,Retention Save — Stayed Because of Rep / Offer,All,153,0.16%,Policy,Cancellation & Switching Intent,Retention Save — Stayed Because of Rep / Offer,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Cancellation & Switching Intent,Switching Reason — Poor Customer Service,All,443,0.46%,Policy,Cancellation & Switching Intent,Switching Reason — Poor Customer Service,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Cancellation & Switching Intent,Switching Reason — Price / Cost,All,96,0.10%,Policy,Cancellation & Switching Intent,Switching Reason — Price / Cost,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Cancellation & Switching Intent,Switching Reason — Service Quality / Coverage,All,44,0.05%,Policy,Cancellation & Switching Intent,Switching Reason — Service Quality / Coverage,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Cancellation & Switching Intent,Switching to Competitor — Other ISP,All,49,0.05%,Policy,Cancellation & Switching Intent,Switching to Competitor — Other ISP,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Cancellation & Switching Intent,Switching to Competitor — Spectrum,All,33,0.03%,Policy,Cancellation & Switching Intent,Switching to Competitor — Spectrum,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Cancellation & Switching Intent,Switching to Competitor — T-Mobile,All,97,0.10%,Policy,Cancellation & Switching Intent,Switching to Competitor — T-Mobile,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Cancellation & Switching Intent,Switching to Competitor — Verizon,All,80,0.08%,Policy,Cancellation & Switching Intent,Switching to Competitor — Verizon,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Cancellation & Switching Intent,Switching to Competitor — Xfinity,All,15,0.02%,Policy,Cancellation & Switching Intent,Switching to Competitor — Xfinity,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Contract & Terms Complaints,Contract Terms Unfair / Confusing,All,102,0.11%,Policy,Contract & Terms Complaints,Contract Terms Unfair / Confusing,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Contract & Terms Complaints,Early Termination Fee / Cancellation Fee Complaint,All,56,0.06%,Policy,Contract & Terms Complaints,Early Termination Fee / Cancellation Fee Complaint,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Contract & Terms Complaints,Late Fee / Payment Policy Complaint,All,70,0.07%,Policy,Contract & Terms Complaints,Late Fee / Payment Policy Complaint,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Policy,Data Privacy & Security,Data Privacy/Security,All,118,0.12%,Policy,Data Privacy & Security,Data Privacy/Security,Protected (show in analyst + governance views),0,Yes,No structure change; visibility tier change,Strategic-risk or accessibility signal; keep distinct regardless of volume.
Policy,Outsourcing & Staffing Practices,Request to Stop Outsourcing / Use Local Staff,Care,94,0.10%,Policy,Outsourcing & Staffing Practices,Request to Stop Outsourcing / Use Local Staff,Protected (show in analyst + governance views),0,Yes,No structure change; visibility tier change,Strategic-risk or accessibility signal; keep distinct regardless of volume.
Policy,Upgrade & Trade-In Policy,Upgrade Policy Unfair / Not Eligible,All,191,0.20%,Policy,Upgrade & Trade-In Policy,Upgrade Policy Unfair / Not Eligible,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Bill Amount & Affordability,Bill Is Too High / Too Expensive,All,195,0.20%,Pricing,Bill Amount & Affordability,Bill Is Too High / Too Expensive,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Bill Amount & Affordability,Pricing Positive / Good Value / Saved Money,All,366,0.38%,Pricing,Bill Amount & Affordability,Pricing Positive / Good Value / Saved Money,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Bill Amount & Affordability,Request to Lower Bill / Reduce Costs,All,511,0.53%,Pricing,Bill Amount & Affordability,Request to Lower Bill / Reduce Costs,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Bill Increase & Rate Changes,Bill Increased / Price Went Up Unexpectedly,All,726,0.75%,Pricing,Bill Increase & Rate Changes,Bill Increased / Price Went Up Unexpectedly,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Bill Increase & Rate Changes,Corporate Greed / Predatory Pricing Language,All,9,0.01%,Pricing,Bill Increase & Rate Changes,Corporate Greed / Predatory Pricing Language,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Bill Increase & Rate Changes,Promotion Expired / Price Jumped After Promo,All,115,0.12%,Pricing,Bill Increase & Rate Changes,Promotion Expired / Price Jumped After Promo,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Bill Inquiry & General Bill,Bill Inquiry,All,932,0.96%,Pricing,Bill Inquiry & General Bill,General Billing Inquiry,Executive scorecard,60,No,Reporting rollup,High semantic overlap and same operational action path.
Pricing,Bill Inquiry & General Bill,General Bill,All,62,0.06%,Pricing,Bill Inquiry & General Bill,General Billing Inquiry,Analyst monitor tier,60,No,Reporting rollup,High semantic overlap and same operational action path.
Pricing,Billing Errors & Disputes,Billing Error / Incorrect Charge / Overcharge,All,350,0.36%,Pricing,Billing Errors & Disputes,Billing Error / Incorrect Charge / Overcharge,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Billing Errors & Disputes,Charged After Cancellation,All,203,0.21%,Pricing,Billing Errors & Disputes,Charged After Cancellation,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Billing Errors & Disputes,Fraud / Scam Allegation,All,78,0.08%,Pricing,Billing Errors & Disputes,Fraud / Scam Allegation,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Billing Errors & Disputes,Refund / Credit Request,All,84,0.09%,Pricing,Billing Errors & Disputes,Refund / Credit Request,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Billing Errors & Disputes,Refund / Credit Was Applied Successfully,All,13,0.01%,Pricing,Billing Errors & Disputes,Refund / Credit Was Applied Successfully,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Cancellation Threat Due to Cost,Competitor Pricing Comparison,All,17,0.02%,Pricing,Cancellation Threat Due to Cost,Competitor Pricing Comparison,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Cancellation Threat Due to Cost,Leaving / Canceling Due to Cost,All,205,0.21%,Pricing,Cancellation Threat Due to Cost,Leaving / Canceling Due to Cost,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Device Payment & Installment Plan,Device Payment Plan Is Too Expensive,All,545,0.56%,Pricing,Device Payment & Installment Plan,Device Payment Plan Is Too Expensive,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Device Payment & Installment Plan,Device Payoff / Early Upgrade Confusion,All,23,0.02%,Pricing,Device Payment & Installment Plan,Device Payoff / Early Upgrade Confusion,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Device Payment & Installment Plan,Trade-In Credit Not Applied / Less Than Promised,All,391,0.40%,Pricing,Device Payment & Installment Plan,Trade-In Credit Not Applied / Less Than Promised,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Hidden Fees & Unexpected Charges,Hidden Fees / Unexpected Charges on Bill,All,155,0.16%,Pricing,Hidden Fees & Unexpected Charges,Hidden Fees / Unexpected Charges on Bill,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Payment Process & Autopay,Autopay Discount / Paperless Positive,All,81,0.08%,Pricing,Payment Process & Autopay,Autopay Discount / Paperless Positive,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Payment Process & Autopay,Autopay Issues / Payment Failed / Late Fee,All,58,0.06%,Pricing,Payment Process & Autopay,Autopay Issues / Payment Failed / Late Fee,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Promotions & Discounts,55+ Wireless + Internet Bundle Discount,All,65,0.07%,Pricing,Promotions & Discounts,55+ Wireless + Internet Bundle Discount,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Promotions & Discounts,Access by AT&T (Low-Cost Internet),All,22,0.02%,Pricing,Promotions & Discounts,Access by AT&T (Low-Cost Internet),Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Promotions & Discounts,Appreciation Savings Program,All,50,0.05%,Pricing,Promotions & Discounts,Appreciation Savings Program,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Promotions & Discounts,Promotion / Discount Was Applied Successfully,All,11,0.01%,Pricing,Promotions & Discounts,Promotion / Discount Was Applied Successfully,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Promotions & Discounts,Promotion Not Honored / Discount Not Applied,All,154,0.16%,Pricing,Promotions & Discounts,Promotion Not Honored / Discount Not Applied,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Promotions & Discounts,Request for Discount / Better Deal / Promotion,All,277,0.29%,Pricing,Promotions & Discounts,Request for Discount / Better Deal / Promotion,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Promotions & Discounts,Signature Savings Program,All,12,0.01%,Pricing,Promotions & Discounts,Signature Savings Program,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Pricing,Promotions & Discounts,Wireless + Fiber Bundle Discount,All,1,0.00%,Pricing,Promotions & Discounts,Wireless + Fiber Bundle Discount,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,AI Automation & IVR Experience,IVR / Phone Menu Navigation Difficulty,Care,91,0.09%,Process,AI Automation & IVR Experience,IVR / Phone Menu Navigation Difficulty,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,AI Automation & IVR Experience,Negative AI / IVR / Bot Experience,Care,60,0.06%,Process,AI Automation & IVR Experience,Negative AI / IVR / Bot Experience,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,AI Automation & IVR Experience,Positive Digital / Chat / Self-Service Experience,All,367,0.38%,Process,AI Automation & IVR Experience,Positive Digital / Chat / Self-Service Experience,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Appointment Scheduling,Appointment Rescheduled Without Notice,Care | IHE,91,0.09%,Process,Appointment Scheduling,Appointment Rescheduled Without Notice,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Appointment Scheduling,Appointment Window Too Wide / Inconvenient,Care | IHE,10,0.01%,Process,Appointment Scheduling,Appointment Window Too Wide / Inconvenient,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Appointment Scheduling,Scheduling Was Difficult / No Availability,Care | IHE,30,0.03%,Process,Appointment Scheduling,Scheduling Was Difficult / No Availability,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Appointment Scheduling,Scheduling Was Easy / Convenient Time Offered,Care | IHE,168,0.17%,Process,Appointment Scheduling,Scheduling Was Easy / Convenient Time Offered,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Call / Connection Issues,Call Was Dropped / Disconnected,Care,1433,1.48%,Process,Call / Connection Issues,Call Was Dropped / Disconnected,Protected (show in analyst + governance views),0,Yes,No structure change; visibility tier change,Strategic-risk or accessibility signal; keep distinct regardless of volume.
Process,Call / Connection Issues,Chat Disconnected / Session Ended Prematurely,Care,29,0.03%,Process,Call / Connection Issues,Chat Disconnected / Session Ended Prematurely,Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Call Center Environment & Atmosphere,Difficulty Hearing Rep (Headset/Audio),Care,18,0.02%,Process,Call Center Environment & Atmosphere,Difficulty Hearing Rep (Headset/Audio),Probation parking lot,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Call Center Environment & Atmosphere,Loud Background Noise in Call Center,Care,628,0.65%,Process,Call Center Environment & Atmosphere,Loud Background Noise in Call Center,Executive scorecard,0,No,Keep as-is,Retain diagnostic granularity while aligning scorecard visibility to volume.
Process,Callback & Follow-Up,Customer Requesting Callback / Follow-Up,All,35,0.04%,Process,Callback & Follow-Up,Customer Requesting Callback / Follow-Up,Analyst monitor tier,60,No,No structure change; visibility tier change,Retain diagnostic granularity while aligning scorecard visibility to volume.
